"SourceSystem","TargetSystem","EdgeType","Evidence","Strength","Impact","Notes","EvidenceSource"
"Custom:Government System","World Save Loader","SerializationConflict","Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs:Server.Mobiles.BaseLandLord:SingleVersionOnly:TypeMismatch:#2:Write=BaseHouse/Read=Item","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Government System","World Save Loader","SerializationConflict","Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/MallToken.cs:Server.Items.VendorMallToken:SingleVersionOnly:TypeMismatch:#1:Write=BaseHouse/Read=Item","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Government System","World Save Loader","SerializationConflict","Data/Scripts/Custom/Government System/Resourcebox/ResourceBox.cs:Server.Items.ResourceBox:Switch:CountMismatch:Writes=3;Reads=4","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Government System","World Save Loader","SerializationConflict","Data/Scripts/Custom/Government System/Vendor/CityLandLord.cs:Server.Mobiles.CityLandLord:SingleVersionOnly:CountMismatch:Writes=2;Reads=3","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Government System","World Save Loader","SerializationConflict","Data/Scripts/Custom/Government System/Vendor/CityRentedVendor.cs:Server.Mobiles.CityRentedVendor:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Invasion System","World Save Loader","SerializationConflict","Data/Scripts/Custom/Invasion System/Add Ins/BaseSpecialCreature.cs:Server.Mobiles.BaseSpecialCreature:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Civilized/GraveRobber.cs:Server.Custom.Confictura.Mobiles.GraveRobber:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Civilized/Malachi.cs:Server.Custom.Confictura.Mobiles.Malachi:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Civilized/RangerOfTheBritainMilitia.cs:Server.Custom.Confictura.Mobiles.RangerOfTheBritainMilitia:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Constructs/CursedAdventurer.cs:Server.Custom.Confictura.Mobiles.CursedAdventurer:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Constructs/DiosMonster.cs:Server.Custom.Confictura.Mobiles.DiosMonster:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Constructs/FinalExodus.cs:Server.Custom.Confictura.Mobiles.FinalExodus:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Constructs/ManaGolem.cs:Server.Custom.Confictura.Mobiles.ManaGolem:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Constructs/TombWarden.cs:Server.Custom.Confictura.Mobiles.TombWarden:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Cultists/DarkCultist.cs:Server.Custom.Confictura.Mobiles.DarkCultist:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Cultists/DarkCultistApprentice.cs:Server.Custom.Confictura.Mobiles.DarkCultistApprentice:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Cultists/DarkDragonCultist.cs:Server.Custom.Confictura.Mobiles.DarkDragonCultist:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Daemons/FallenAngel.cs:Server.Custom.Confictura.Mobiles.FallenAngel:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Daemons/GuardianOfTheUnderworld.cs:Server.Custom.Confictura.Mobiles.GuardianOfTheUnderworld:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Daemons/PlagueGod.cs:Server.Custom.Confictura.Mobiles.PlagueGod:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Daemons/TombPest.cs:Server.Custom.Confictura.Mobiles.TombPest:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Dragons/DarkDragonAvatar.cs:Server.Custom.Confictura.Mobiles.DarkDragonAvatar:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Dragons/DragonHydra.cs:Server.Custom.Confictura.Mobiles.DragonHydra:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Dragons/DragonIllusion.cs:Server.Custom.Confictura.Mobiles.DragonIllusion:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Dragons/Wyrmling.cs:Server.Custom.Confictura.Mobiles.Wyrmling:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Elementals/FireIllusion.cs:Server.Custom.Confictura.Mobiles.FireIllusion:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Elementals/FireKing.cs:Server.Custom.Confictura.Mobiles.FireKing:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Elementals/FireServant.cs:Server.Custom.Confictura.Mobiles.FireServant:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Elementals/FireSpirit.cs:Server.Custom.Confictura.Mobiles.FireSpirit:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Elementals/Geode.cs:Server.Custom.Confictura.Mobiles.Geode:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Elementals/GrumpyEarthSpirit.cs:Server.Custom.Confictura.Mobiles.GrumpyEarthSpirit:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Elementals/SkySpirit.cs:Server.Custom.Confictura.Mobiles.SkySpirit:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Goliaths/Atlas.cs:Server.Custom.Confictura.Mobiles.Atlas:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Goliaths/CyclopsIntruder.cs:Server.Custom.Confictura.Mobiles.CyclopsIntruder:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Goliaths/TwoFace.cs:Server.Custom.Confictura.Mobiles.TwoFace:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Kobolds/KoboldChief.cs:Server.Custom.Confictura.Mobiles.KoboldChief:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Kobolds/KoboldFootSoldier.cs:Server.Custom.Confictura.Mobiles.KoboldFootSoldier:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Kobolds/KoboldRingleader.cs:Server.Custom.Confictura.Mobiles.KoboldRingleader:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Minotaurs/MazeMinotaur.cs:Server.Custom.Confictura.Mobiles.MazeMinotaur:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Minotaurs/MazeMinotaurEast.cs:Server.Custom.Confictura.Mobiles.MazeMinotaurEast:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Minotaurs/MazeMinotaurSouth.cs:Server.Custom.Confictura.Mobiles.MazeMinotaurSouth:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Mystical/Archon.cs:Server.Custom.Confictura.Mobiles.Archon:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Mystical/EternalGuardian.cs:Server.Custom.Confictura.Mobiles.EternalGuardian:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Mystical/Lovecraftian.cs:Server.Custom.Confictura.Mobiles.Lovecraftian:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Mystical/TrueVirtue.cs:Server.Custom.Confictura.Mobiles.TrueVirtue:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Pirates/CaptainSwag.cs:Server.Custom.Confictura.Mobiles.CaptainSwag:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Pirates/Pirate.cs:Server.Custom.Confictura.Mobiles.Pirate:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Pirates/Scallywag.cs:Server.Custom.Confictura.Mobiles.Scallywag:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Serpents/FireAngel.cs:Server.Custom.Confictura.Mobiles.FireAngel:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Serpents/ImmortalGenie.cs:Server.Custom.Confictura.Mobiles.ImmortalGenie:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Spiders/SpiderIllusion.cs:Server.Custom.Confictura.Mobiles.SpiderIllusion:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Spiders/Spiderling.cs:Server.Custom.Confictura.Mobiles.Spiderling:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Spiders/SpiderQueen.cs:Server.Custom.Confictura.Mobiles.SpiderQueen:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Titans/FalseEarthGod.cs:Server.Custom.Confictura.Mobiles.FalseEarthGod:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Titans/FalseFireGod.cs:Server.Custom.Confictura.Mobiles.FalseFireGod:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Titans/FalseSeaGod.cs:Server.Custom.Confictura.Mobiles.FalseSeaGod:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Titans/FalseWindGod.cs:Server.Custom.Confictura.Mobiles.FalseWindGod:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Titans/Herculian.cs:Server.Custom.Confictura.Mobiles.Herculian:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/Beholder.cs:Server.Custom.Confictura.Mobiles.Beholder:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/CryptKeeper.cs:Server.Custom.Confictura.Mobiles.CryptKeeper:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/EvilDruid.cs:Server.Custom.Confictura.Mobiles.EvilDruid:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/GhostOfLadyEverdear.cs:Server.Custom.Confictura.Mobiles.GhostOfLadyEverdear:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/Honorguard.cs:Server.Custom.Confictura.Mobiles.Honorguard:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/OldKingWolfgang.cs:Server.Custom.Confictura.Mobiles.OldKingWolfgang:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/Rattlebones.cs:Server.Custom.Confictura.Mobiles.Rattlebones:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/RedDeath.cs:Server.Custom.Confictura.Mobiles.RedDeath:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/RoyalSwordmaster.cs:Server.Custom.Confictura.Mobiles.RoyalSwordmaster:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/RuneKnight.cs:Server.Custom.Confictura.Mobiles.RuneKnight:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/Servant.cs:Server.Custom.Confictura.Mobiles.Servant:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/TheGroundskeeper.cs:Server.Custom.Confictura.Mobiles.TheGroundskeeper:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/TheMadDuke.cs:Server.Custom.Confictura.Mobiles.TheMadDuke:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Mobiles","World Save Loader","SerializationConflict","Data/Scripts/Custom/Mobiles/Undead/TheNecromancer.cs:Server.Custom.Confictura.Mobiles.TheNecromancer:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
