"FindingId","Track","System","File","Evidence","Impact","Severity","Recommendation","Verification","SourceRegister","ReviewStatus","Notes"
"P10-F00011","10.1 Build Inclusion Drift","Custom:Vhaerun's CRL Homestead System [2.0]","","MovedGumpFolder; count=2; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00012","10.1 Build Inclusion Drift","Custom:Government System","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00013","10.1 Build Inclusion Drift","Quests:Museum","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00014","10.1 Build Inclusion Drift","Trades:Apiculture","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00015","10.1 Build Inclusion Drift","Quests:Epic","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00016","10.1 Build Inclusion Drift","System:Skills","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00017","10.1 Build Inclusion Drift","Magic:Syth","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00018","10.1 Build Inclusion Drift","Magic:Holy Man","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00019","10.1 Build Inclusion Drift","Magic:Mystic","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00020","10.1 Build Inclusion Drift","Magic:Jedi","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00021","10.1 Build Inclusion Drift","Magic:Elementalism","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00022","10.1 Build Inclusion Drift","Magic:Death Knight","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00023","10.1 Build Inclusion Drift","Magic:Bard","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00024","10.1 Build Inclusion Drift","Items:Special","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00025","10.1 Build Inclusion Drift","Items:Magical","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00026","10.1 Build Inclusion Drift","Items:Books","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00027","10.1 Build Inclusion Drift","Custom:PvPConsent","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00028","10.1 Build Inclusion Drift","Magic:Research","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00029","10.1 Build Inclusion Drift","Trades:Guild","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00030","10.1 Build Inclusion Drift","Custom:XMLSpawner","","ActiveSourceMissingInclude; count=20; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00031","10.1 Build Inclusion Drift","Items:Houses","","ActiveSourceMissingInclude; count=7; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00032","10.1 Build Inclusion Drift","Trades:Bulk Orders","","ActiveSourceMissingInclude; count=7; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00033","10.1 Build Inclusion Drift","Custom:CloneOfflinePlayerCharacters","","ActiveSourceMissingInclude; count=6; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00034","10.1 Build Inclusion Drift","Items:Misc","","ActiveSourceMissingInclude; count=5; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00035","10.1 Build Inclusion Drift","System:Help","","ActiveSourceMissingInclude; count=5; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00036","10.1 Build Inclusion Drift","System:Commands","","ActiveSourceMissingInclude; count=5; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00037","10.1 Build Inclusion Drift","Trades:Gardening","","ActiveSourceMissingInclude; count=4; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00038","10.1 Build Inclusion Drift","Custom:Government System","","ActiveSourceMissingInclude; count=3; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00039","10.1 Build Inclusion Drift","Trades:Core","","ActiveSourceMissingInclude; count=3; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00040","10.1 Build Inclusion Drift","Items:Boats","","ActiveSourceMissingInclude; count=3; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00041","10.1 Build Inclusion Drift","Items:Gifts","","ActiveSourceMissingInclude; count=3; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00042","10.1 Build Inclusion Drift","Custom:Vhaerun's CRL Homestead System [2.0]","","ActiveSourceMissingInclude; count=2; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00043","10.1 Build Inclusion Drift","Quests:Epic","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00044","10.1 Build Inclusion Drift","Quests:Museum","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00045","10.1 Build Inclusion Drift","Custom:AIOverhaul","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P2","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00046","10.1 Build Inclusion Drift","Trades:Apiculture","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00047","10.1 Build Inclusion Drift","Magic:Syth","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00048","10.1 Build Inclusion Drift","System:Skills","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00049","10.1 Build Inclusion Drift","Magic:Research","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00050","10.1 Build Inclusion Drift","Magic:Death Knight","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00051","10.1 Build Inclusion Drift","Magic:Jedi","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00052","10.1 Build Inclusion Drift","Magic:Holy Man","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00053","10.1 Build Inclusion Drift","Magic:Elementalism","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00054","10.1 Build Inclusion Drift","Magic:Bard","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00055","10.1 Build Inclusion Drift","Items:Trades","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00056","10.1 Build Inclusion Drift","Items:Special","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00057","10.1 Build Inclusion Drift","Items:Magical","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00058","10.1 Build Inclusion Drift","Items:Books","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00059","10.1 Build Inclusion Drift","Custom:PvPConsent","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00060","10.1 Build Inclusion Drift","Magic:Mystic","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00061","10.1 Build Inclusion Drift","Trades:Guild","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","P1","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00062","10.2 Serialization Order And Versioning","Custom:Book Publisher [2.0]","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Serialize:L215;Deserialize:L193;SerialCtor:L190;VersionWrite:L218;VersionRead:L196; class=Server.Items.PublishedBook; category=WriteReadAlignment","Save","P0","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","phase-06-save-compatibility-repair-backlog.csv","NeedsManualReview","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"P10-F00063","10.2 Serialization Order And Versioning","Custom:CEO's GM Hiding Stone [2.0]","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Serialize:L748;Deserialize:L758;SerialCtor:L745;VersionWrite:L751;VersionRead:L762; class=Server.Items.GMHidingStone; category=WriteReadAlignment","Save","P0","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","phase-06-save-compatibility-repair-backlog.csv","NeedsManualReview","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"P10-F00064","10.2 Serialization Order And Versioning","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Serialize:L209;Deserialize:L216;SerialCtor:L206; class=Server.Items.PlagueBeastBackpack; category=VersionHandling","Save","P1","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","phase-06-save-compatibility-repair-backlog.csv","NeedsManualReview","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"P10-F00065","10.2 Serialization Order And Versioning","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Serialize:L118;Deserialize:L125;SerialCtor:L115; class=Server.Items.PlagueBeastBlood; category=VersionHandling","Save","P1","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","phase-06-save-compatibility-repair-backlog.csv","NeedsManualReview","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"P10-F00066","10.2 Serialization Order And Versioning","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs","Serialize:L20;Deserialize:L27;SerialCtor:L17; class=Server.Items.PlagueBeastGland; category=VersionHandling","Save","P1","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","phase-06-save-compatibility-repair-backlog.csv","NeedsManualReview","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"P10-F00067","10.2 Serialization Order And Versioning","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","Serialize:L26;Deserialize:L33;SerialCtor:L23; class=Server.Items.PlagueBeastHeart; category=VersionHandling","Save","P1","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","phase-06-save-compatibility-repair-backlog.csv","NeedsManualReview","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"P10-F00068","10.2 Serialization Order And Versioning","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Serialize:L176;Deserialize:L185;SerialCtor:L173; class=Server.Items.PlagueBeastComponent; category=VersionHandling","Save","P1","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","phase-06-save-compatibility-repair-backlog.csv","NeedsManualReview","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"P10-F00069","10.2 Serialization Order And Versioning","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Serialize:L59;Deserialize:L66;SerialCtor:L56; class=Server.Items.PlagueBeastInnard; category=VersionHandling","Save","P1","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","phase-06-save-compatibility-repair-backlog.csv","NeedsManualReview","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"P10-F00070","10.2 Serialization Order And Versioning","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs","Serialize:L64;Deserialize:L73;SerialCtor:L61; class=Server.Items.PlagueBeastMutationCore; category=VersionHandling","Save","P1","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","phase-06-save-compatibility-repair-backlog.csv","NeedsManualReview","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
