"SourceSystem","TargetSystem","EdgeType","Evidence","Strength","Impact","Notes","EvidenceSource"
"Doc:AI Overhaul Audit","Mobiles:Mystical","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Mystical/DarkWisp.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Mystical","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Mystical/Wisp.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Summoned","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Summoned/BladeSpirits.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Summoned","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Summoned/DeathVortex.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Summoned","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Summoned/EnergyVortex.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Summoned","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Summoned/GasCloud.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Summoned","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Summoned/Swarm.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Unique","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Unique/RuneGuardian.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","OmniAI","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Custom/ThirdParty/OmniAI/AITester.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","OmniAI","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Custom/ThirdParty/OmniAI/OmniAI Core.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","OmniAI","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Custom/ThirdParty/OmniAI/OmniAI Shared.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Random Encounters","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Random Encounters","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Custom/RandomEncounters/Import.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Regions","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/System/Regions/BaseRegion.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Regions","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/System/Source/Region.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Regions","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/System/Source/Sector.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Death Knight/DevilPact.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Druidism/Effects/TreefellowSpell.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendAir.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendEarth.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendFire.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendWater.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritAir.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritEarth.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritFire.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritWater.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Enchantments/Mobiles/DevilPactMagic.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Jester/Spells/Clowns.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Misc/SummonDragonSpell.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Misc/SummonSkeleton.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Misc/SummonSnakesSpell.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Spell Framework","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Ninjitsu/MirrorImage.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Vendor Core","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Base/BaseVendor.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Vendor Core","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Base/Behavior.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Vendor Core","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Civilized/Vendors/Banker.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Vendor Core","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Civilized/Vendors/Mage.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Base Spell Framework","Doc:docs/wiki/Magic_Toolbars_Guide.md","DocsOnly","docs/wiki/Base_Spell_Framework.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/Gumps/EmptyTheBowlGump.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/Gumps/MainPlantGump.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/Gumps/ReproductionGump.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/Gumps/SetToDecorativeGump.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/MiscItems/FertileDirt.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/MiscItems/GreenThorns.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/MiscItems/OrangePetals.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/MiscItems/RedLeaves.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/Network/DisplayHelpTopic.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/PlantBowl.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/PlantHue.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/PlantItem.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/PlantPourTarget.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/PlantResources.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/PlantSystem.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/PlantType.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/PollinateTarget.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Gardening System","Gardening","DocsSourceTrace","docs/wiki/Gardening_System.md -> Data/Scripts/Trades/Gardening/Seed.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","Custom:ClearDeckCommand","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","Quests:Quests.cs","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/Quests/Quests.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","ServerCore","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/System/Source/Commands.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Commands","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Commands/Handlers.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Commands","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Commands/Player/Afk.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Commands","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Commands/Player/BandSelf.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Commands","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Commands/Player/Emote.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Commands","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Commands/Player/Loot.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Commands","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Commands/Player/SkillListing.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Commands","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Commands/Player/SpellBarsManage.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Help","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Help/Gumps/HelpGump.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Misc","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Misc/Accounts.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Misc","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Misc/MOTD.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Misc","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Misc/Statistics.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Skills","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Skills/Weapon Abilities/AbilityBook.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:In-Game Command List","System:Skills","DocsSourceTrace","docs/wiki/In_Game_Command_List.md -> Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackCommands.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Legacy Slug: PvP Consent System","Doc:docs/wiki/PvP_Consent_System.md","DocsOnly","docs/wiki/pvp-consent-system.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:Legacy Slug: Voting Rewards","Doc:docs/wiki/Voting_Rewards.md","DocsOnly","docs/wiki/voting-system.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:Magery Spell System","Doc:docs/wiki/Magery_Spell_Color_Setting.md","DocsOnly","docs/wiki/Magery_Spell_System.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:Magery Spell System","Doc:docs/wiki/Magic_Toolbars_Guide.md","DocsOnly","docs/wiki/Magery_Spell_System.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:Magery Spell System","Doc:docs/wiki/NPC_Mage_Advice.md","DocsOnly","docs/wiki/Magery_Spell_System.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:Misc Magic Spells","Doc:docs/wiki/Base_Spell_Framework.md","DocsOnly","docs/wiki/Misc_Magic_Spells.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:Misc Magic Spells","Doc:docs/wiki/Magery_Spell_System.md","DocsOnly","docs/wiki/Misc_Magic_Spells.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:NPC Mage Advice","Doc:docs/wiki/Mage_Spellcasting_Tips.md","DocsOnly","docs/wiki/NPC_Mage_Advice.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:NPC Mage Advice","Doc:docs/wiki/Magic_Toolbars_Guide.md","DocsOnly","docs/wiki/NPC_Mage_Advice.md","Speculative","Docs","Markdown link suggests a documentation relationship only; runtime dependency requires source evidence.","DocumentationTruthTable"
"Doc:Player Mobile Core","Mobiles:Base","DocsSourceTrace","docs/wiki/Player_Mobile_Core.md -> Data/Scripts/Mobiles/Base/BaseCreature.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Player Mobile Core","Mobiles:Base","DocsSourceTrace","docs/wiki/Player_Mobile_Core.md -> Data/Scripts/Mobiles/Base/PlayerSettings.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Player Mobile Core","PlayerMobile Core","DocsSourceTrace","docs/wiki/Player_Mobile_Core.md -> Data/Scripts/Mobiles/Base/PlayerMobile.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Player Mobile Core","PvP Consent","DocsSourceTrace","docs/wiki/Player_Mobile_Core.md -> Data/Scripts/Mobiles/Base/PlayerMobile.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Player Mobile Core","System:Commands","DocsSourceTrace","docs/wiki/Player_Mobile_Core.md -> Data/Scripts/System/Commands/Player/AutoSheatheWeapon.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Player Mobile Core","System:Commands","DocsSourceTrace","docs/wiki/Player_Mobile_Core.md -> Data/Scripts/System/Commands/Player/ClassicPoisoning.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Player Mobile Core","System:Commands","DocsSourceTrace","docs/wiki/Player_Mobile_Core.md -> Data/Scripts/System/Commands/Player/QuickBar.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Player Mobile Core","System:Commands","DocsSourceTrace","docs/wiki/Player_Mobile_Core.md -> Data/Scripts/System/Commands/Player/SkillListing.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Player Mobile Core","System:Commands","DocsSourceTrace","docs/wiki/Player_Mobile_Core.md -> Data/Scripts/System/Commands/Player/SpellBarsFunctions.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Runic Tools Crafting","Bulk Orders","DocsSourceTrace","docs/wiki/Runic_Tools_Crafting.md -> Data/Scripts/Trades/Bulk Orders/Rewards.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:Runic Tools Crafting","Items:Armor","DocsSourceTrace","docs/wiki/Runic_Tools_Crafting.md -> Data/Scripts/Items/Armor/BaseArmor.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
