"System","Classification","File","PrimaryRole","SecondaryRoles","RuntimeHooks","SerializedState","Gumps","ConfigData","VerificationStatus"
"PvP Consent","GameplayLayer","Data/Scripts/Custom/PvPConsent/PKSword.cs","Persistence","CombatPolicy","","class:PKSword","","","PartiallyVerified"
"PvP Consent","GameplayLayer","Data/Scripts/Custom/PvPConsent/Gumps/PKNONPKGUMP.cs","CommandSurface","StartupWiring;GumpUI;CombatPolicy","Initialize","","OnResponse;SendGump","","PartiallyVerified"
"PvP Consent","GameplayLayer","Data/Scripts/Mobiles/Base/PlayerMobile.cs","StartupWiring","GumpUI;Persistence;MobileContent","EventSink;Initialize;OnLogin;OnLogout;OnSpeech;Timer.DelayCall","enum:PlayerFlag;enum:NONPK;enum:NpcGuild;enum:SolenFriendship;class:PlayerMobile;class:CountAndTimeStamp;class:CancelRenewInventoryInsuranceGump;class:CallbackEntry;class:ChampionTitleInfo;class:TitleInfo","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/CityEnums.cs","Economy","","","","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","CommandSurface","StartupWiring;Economy","Initialize;WorldSave","","","Data/GovernmentVersion.xml","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/GovernmentTestingMode.cs","Economy","StaffTooling","","","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/InternalChatMsg.cs","Economy","","","","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs","StartupWiring","GumpUI;Economy","Initialize","","SendGump","Data/GovernmentVersion.xml","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","CommandSurface","StartupWiring;GumpUI;Economy;StaffTooling","Initialize","","SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Commands/FindCities.cs","CommandSurface","StartupWiring;GumpUI;Economy","Initialize","","SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Commands/GovernmentTestingCommand.cs","CommandSurface","StartupWiring;Economy","Initialize","","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Commands/GovHelp.cs","CommandSurface","StartupWiring;GumpUI;Economy","Initialize","","SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/AcceptJoinGump.cs","GumpUI","Economy","","","OnResponse","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/AdminAddGump.cs","GumpUI","Economy;StaffTooling","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/AssistMayorGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/CancelAllegiancesGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ChangeCitizenTitleGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/CityCitizenGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/CityCorpseFeeGump.cs","GumpUI","Economy","","","OnResponse","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/CityManagementGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/CityMarketGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/CityResFeeGump.cs","GumpUI","Economy","","","OnResponse","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/CityWarningGump.cs","Economy","","","","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ConfirmDisbandCityGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ConfirmLeaveCityGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/DeclareCityAllegiancesGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/DeclareCityWarGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/DeclarePeaceGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/DestoryStructureGump.cs","GumpUI","Economy","","","OnResponse","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/FindCitiesGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/GovHelpGump.cs","Economy","","","","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/MaintenanceReportGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/NoCitiesGump.cs","Economy","","","","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/PCMoongateGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/PCMoongateToll2Gump.cs","GumpUI","Economy","","","OnResponse","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/PCMoongateTollGump.cs","GumpUI","Economy","","","OnResponse","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/RemoveCityBanGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/RemoveMemberGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ResourceBoxGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/SponsorGump.cs","GumpUI","Economy","","","OnResponse","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ViewCityAllegiancesGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ViewCityAtWarGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ViewCityBansGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ViewCityMembersGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ViewDeclaredAllegiancesGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ViewDeclaredWarsGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ViewInvitedAllegiancesGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ViewInvitedWarsGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/ViewSponsoredGump.cs","GumpUI","Economy","","","OnResponse;SendGump","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Gumps/VotingStoneGump.cs","GumpUI","Economy","","","OnResponse","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Decore/CityHedge.cs","Persistence","Economy","","class:CityHedge","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Decore/CityLampPost.cs","Persistence","Economy","","class:CityLampPost","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Decore/CityTrashBarrel.cs","Persistence","Economy","","class:CityTrashCan","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/AsianCityBankAddon.cs","Persistence","Economy","","class:AsianCityBankAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/FieldstoneCityBankAddon.cs","Persistence","Economy","","class:FieldstoneCityBankAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/MarbleCityBankAddon.cs","Persistence","Economy","","class:MarbleCityBankAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/NecroCityBankAddon.cs","Persistence","Economy","","class:NecroCityBankAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/PlasterCityBankAddon.cs","Persistence","Economy","","class:PlasterCityBankAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/SandstoneCityBankAddon.cs","Persistence","Economy","","class:SandstoneCityBankAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/StoneCityBankAddon.cs","Persistence","Economy","","class:StoneCityBankAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/WoodCityBankAddon.cs","Persistence","Economy","","class:WoodCityBankAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/AsianCityHallAddon.cs","Persistence","Economy","","class:AsianCityHallAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/FieldStoneCityHallAddon.cs","Persistence","Economy","","class:FieldstoneCityHallAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/MarbleCityHallAddon.cs","Persistence","Economy","","class:MarbleCityHallAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/NecroCityHallAddon.cs","Persistence","Economy","","class:NecroCityHallAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/PlasterCityHallAddon.cs","Persistence","Economy","","class:PlasterCityHallAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/SandstoneCityHallAddon.cs","Persistence","Economy","","class:SandstoneCityHallAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/StoneCityHallAddon.cs","Persistence","Economy","","class:StoneCityHallAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/WoodCityHallAddon.cs","Persistence","Economy","","class:WoodCityHallAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/AsianCityHealerAddon.cs","Persistence","Economy","","class:AsianCityHealerAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/FieldstoneCityHealerAddon.cs","Persistence","Economy","","class:FieldstoneCityHealerAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/MarbleCityHealerAddon.cs","Persistence","Economy","","class:MarbleCityHealerAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/NecroCityHealerAddon.cs","Persistence","Economy","","class:NecroCityHealerAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/PlasterCityHealerAddon.cs","Persistence","Economy","","class:PlasterCityHealerAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/SandstoneCityHealerAddon.cs","Persistence","Economy","","class:SandstoneCityHealerAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/StoneCityHealerAddon.cs","Persistence","Economy","","class:StoneCityHealerAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/WoodCityHealerAddon.cs","Persistence","Economy","","class:WoodCityHealerAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/AsianMarketAddon.cs","Persistence","Economy","","class:AsianCityMarketAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/FieldstoneMarketAddon.cs","Persistence","Economy","","class:FieldstoneCityMarketAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/MarbleMarketAddon.cs","Persistence","Economy","","class:MarbleCityMarketAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/NecroMarketAddon.cs","Persistence","Economy","","class:NecroCityMarketAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/PlasterMarketAddon.cs","Persistence","Economy","","class:PlasterCityMarketAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/SandstoneMarketAddon.cs","Persistence","Economy","","class:SandstoneCityMarketAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/StoneMarketAddon.cs","Persistence","Economy","","class:StoneCityMarketAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/WoodMarketAddon.cs","Persistence","Economy","","class:WoodCityMarketAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/AsianCityMoongateAddon.cs","Persistence","Economy","","class:AsianCityMoongateAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/MarbleCityMoongateAddon.cs","Persistence","Economy","","class:MarbleCityMoongateAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/NecroCityMoongateAddon.cs","Persistence","Economy","","class:NecroCityMoongateAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/SandstoneCityMoongateAddon.cs","Persistence","Economy","","class:SandstoneCityMoongateAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/StoneCityMoongateAddon.cs","Persistence","Economy","","class:StoneCityMoongateAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/WoodCityMoongateAddon.cs","Persistence","Economy","","class:WoodCityMoongateAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Parks & Gardens/LargeCityGardenAddon.cs","Persistence","Economy","","class:LargeCityGardenAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Parks & Gardens/LargeCityParkAddon.cs","Persistence","Economy","","class:LargeCityParkAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Parks & Gardens/MedCityGardenAddon.cs","Persistence","Economy","","class:MedCityGardenAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Parks & Gardens/MedCityParkAddon.cs","Persistence","Economy","","class:MedCityParkAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Parks & Gardens/SmallCityGardenAddon.cs","Persistence","Economy","","class:SmallCityGardenAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Parks & Gardens/SmallCityParkAddon.cs","Persistence","Economy","","class:SmallCityParkAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Stable/AsianCityStableAddon.cs","Persistence","Economy","","class:AsianCityStableAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Stable/FieldstoneCityStableAddon.cs","Persistence","Economy","","class:FieldstoneCityStableAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Stable/MarbleCityStableAddon.cs","Persistence","Economy","","class:MarbleCityStableAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Stable/NecroCityStableAddon.cs","Persistence","Economy","","class:NecroCityStableAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Stable/PlasterCityStableAddon.cs","Persistence","Economy","","class:PlasterCityStableAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Stable/SandstoneCityStableAddon.cs","Persistence","Economy","","class:SandstoneCityStableAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Stable/StoneCityStableAddon.cs","Persistence","Economy","","class:StoneCityStableAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Stable/WoodCityStableAddon.cs","Persistence","Economy","","class:WoodCityStableAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Taverns/AsianCityTavernAddon.cs","Persistence","Economy","","class:AsianCityTavernAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Taverns/FieldstoneCityTavernAddon.cs","Persistence","Economy","","class:FieldstoneCityTavernAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Taverns/MarbleCityTavernAddon.cs","Persistence","Economy","","class:MarbleCityTavernAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Taverns/NecroCityTavernAddon.cs","Persistence","Economy","","class:NecroCityTavernAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Taverns/PlasterCityTavernAddon.cs","Persistence","Economy","","class:PlasterCityTavernAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Taverns/SandstoneCityTavernAddon.cs","Persistence","Economy","","class:SandstoneCityTavernAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Taverns/StoneCityTavernAddon.cs","Persistence","Economy","","class:StoneCityTavernAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Taverns/WoodCityTavernAddon.cs","Persistence","Economy","","class:WoodCityTavernAddon","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/CityDeed.cs","Persistence","Economy","","class:CityPlacementTarget;class:CityDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Banks/AsianCityBankDeed.cs","Persistence","Economy","","class:AsianCityBankDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Banks/FieldstoneCityBankDeed.cs","Persistence","Economy","","class:FieldstoneCityBankDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Banks/MarbleCityBankDeed.cs","Persistence","Economy","","class:MarbleCityBankDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Banks/NecroCityBankDeed.cs","Persistence","Economy","","class:NecroCityBankDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Banks/PlasterCityBankDeed.cs","Persistence","Economy","","class:PlasterCityBankDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Banks/SandstoneCityBankDeed.cs","Persistence","Economy","","class:SandstoneCityBankDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Banks/StoneCityBankDeed.cs","Persistence","Economy","","class:StoneCityBankDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Banks/WoodCityBankDeed.cs","Persistence","Economy","","class:WoodCityBankDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/City Halls/AsainCityHallDeed.cs","Persistence","Economy","","class:AsianCityHallDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/City Halls/FieldStoneCityHallDeed.cs","Persistence","Economy","","class:FieldStoneCityHallDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/City Halls/MarbleCityHallDeed.cs","Persistence","Economy","","class:MarbleCityHallDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/City Halls/NecroCityHallDeed.cs","Persistence","Economy","","class:NecroCityHallDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/City Halls/PlasterCityHallDeed.cs","Persistence","Economy","","class:PlasterCityHallDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/City Halls/SandstoneCityHallDeed.cs","Persistence","Economy","","class:SandstoneCityHallDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/City Halls/StoneCityHallDeed.cs","Persistence","Economy","","class:StoneCityHallDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/City Halls/WoodCityHallDeed.cs","Persistence","Economy","","class:WoodCityHallDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Healers/AsianCityHealerDeed.cs","Persistence","Economy","","class:AsianCityHealerDeed","","","PartiallyVerified"
"Government","GameplayLayer","Data/Scripts/Custom/Government System/Items/Deeds/Stock Deeds/Healers/FieldstoneCityHealerDeed.cs","Persistence","Economy","","class:FieldstoneCityHealerDeed","","","PartiallyVerified"
