"SystemOwner","File","SourceHash","Type","Surface","TimeSource","Mutation","Disposition","Adapter","CatalogKey","TestId","Evidence","Rationale"
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","55C9F4766B6AC907AE5BE41FA2BEF12FBEBD1FF171F2A6BAFD266E5210735FC7","RuntimeScript","Action.ItemUse","N/A","None","NativeBridge","Mobile.Use bridge","ItemUse:*","TBC-ACTION-ITEM","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs regex:\bOnDoubleClick\s*\(","Item use is cataloged by runtime type while participants are active."
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","55C9F4766B6AC907AE5BE41FA2BEF12FBEBD1FF171F2A6BAFD266E5210735FC7","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:BoatNavigationTotem","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","09B0A894A2565E4B6A9850AA4000E55496E7C46A4588FE522B78423CD5157FDB","RuntimeScript","NoDetectedCombatSurface","N/A","None","NotCombatRelevant","None","None","TBC-INVENTORY-COVERAGE","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs full-file scan","The reproducible surface scan found no turn-combat interception pattern."
"Custom:BondInfo","Data/Scripts/Custom/BondInfo/BondInfo.cs","8B28857FD52CBBE17B4293F79909EA0C9CE0FCED56FC0D04AF6F26C6E61B3666","RuntimeScript","Clock.DateTimeNow","WallClock","None","WallClockUnaffected","Central actor-time seams","Clock:*","TBC-CLOCK-WALL","Data/Scripts/Custom/BondInfo/BondInfo.cs regex:DateTime\.Now","Only central combat cooldown, skill, spell, effect, and AI seams use participant time."
"Custom:Book Publisher [2.0]","Data/Scripts/Custom/Book Publisher [2.0]/BookBuyInfo.cs","32FB95ED1F2A988F56861E16ECB8BBBD9F19F84CE6EC7DDBED84F6D77A2D0640","RuntimeScript","NoDetectedCombatSurface","N/A","None","NotCombatRelevant","None","None","TBC-INVENTORY-COVERAGE","Data/Scripts/Custom/Book Publisher [2.0]/BookBuyInfo.cs full-file scan","The reproducible surface scan found no turn-combat interception pattern."
"Custom:Book Publisher [2.0]","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","F77B187F4F8B38580ED8319BE1A9B10FB46FD572021021495DC2412573D51A5B","RuntimeScript","Clock.DateTimeNow","WallClock","None","WallClockUnaffected","Central actor-time seams","Clock:*","TBC-CLOCK-WALL","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs regex:DateTime\.Now","Only central combat cooldown, skill, spell, effect, and AI seams use participant time."
"Custom:Book Publisher [2.0]","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","F77B187F4F8B38580ED8319BE1A9B10FB46FD572021021495DC2412573D51A5B","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Book Publisher [2.0]","Data/Scripts/Custom/Book Publisher [2.0]/Publisher.cs","4A01CB399A413AAB42B311F9809BC8A6BD5C11A5C034A3A5E329FF5B9C5D8305","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Book Publisher [2.0]/Publisher.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Book Publisher [2.0]","Data/Scripts/Custom/Book Publisher [2.0]/SBPublisher.cs","D169B8CAC756544D7088FCA7911693D04C769B1407D867CA66F9FAF5450F74A5","RuntimeScript","NoDetectedCombatSurface","N/A","None","NotCombatRelevant","None","None","TBC-INVENTORY-COVERAGE","Data/Scripts/Custom/Book Publisher [2.0]/SBPublisher.cs full-file scan","The reproducible surface scan found no turn-combat interception pattern."
"Custom:Book Publisher [2.0]","Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs","312A1F12456488E28744BCC60C588ADD680546CB87AA8EDA67A928B0B1C7AF6A","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:CEO's GM Hiding Stone [2.0]","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","59586497317B134817E1F71C0F82D5894F70BAF0F643174042ED6806330EBC8F","RuntimeScript","Timer.Subclass","WallClock","None","WallClockUnaffected","Mutation backstop and explicit effect adapters","Effect:*","TBC-TIMER-OWNER","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs regex::\s*Timer\b","Timers remain wall-clock unless an owner-aware effect catalog entry overrides them."
"Custom:CEO's GM Hiding Stone [2.0]","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","59586497317B134817E1F71C0F82D5894F70BAF0F643174042ED6806330EBC8F","RuntimeScript","Timer.DelayCall","WallClock","None","WallClockUnaffected","Mutation backstop","Effect:DelayCall","TBC-TIMER-DELAY","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs regex:Timer\.DelayCall\s*\(","Delayed world work stays wall-clock; participant mutations still require an authorized scope."
"Custom:CEO's GM Hiding Stone [2.0]","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","59586497317B134817E1F71C0F82D5894F70BAF0F643174042ED6806330EBC8F","RuntimeScript","Clock.DateTimeNow","WallClock","None","WallClockUnaffected","Central actor-time seams","Clock:*","TBC-CLOCK-WALL","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs regex:DateTime\.Now","Only central combat cooldown, skill, spell, effect, and AI seams use participant time."
"Custom:CEO's GM Hiding Stone [2.0]","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","59586497317B134817E1F71C0F82D5894F70BAF0F643174042ED6806330EBC8F","RuntimeScript","Action.ItemUse","N/A","None","NativeBridge","Mobile.Use bridge","ItemUse:*","TBC-ACTION-ITEM","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs regex:\bOnDoubleClick\s*\(","Item use is cataloged by runtime type while participants are active."
"Custom:CEO's GM Hiding Stone [2.0]","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","59586497317B134817E1F71C0F82D5894F70BAF0F643174042ED6806330EBC8F","RuntimeScript","Mutation.DirectState","N/A","DirectState","NativeBridge","Mobile state mutation backstop","Mutation:State","TBC-MUTATION-DIRECT","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs regex:\.(Hits|Stam|Mana|Poison|Paralyzed|Frozen)\s*(\+\+|--|[+\-]?=)","Direct participant state changes fail closed outside a mutation scope."
"Custom:CEO's GM Hiding Stone [2.0]","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","59586497317B134817E1F71C0F82D5894F70BAF0F643174042ED6806330EBC8F","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","C37444E7033038A1CF196999ABBBEE83AD4DA806239963EB21BD2CF69FC63062","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","8E308DBD4F2C39CB6BC07CFE6376E4935FBE863C836D7703403B8B794D968521","RuntimeScript","Timer.DelayCall","WallClock","None","WallClockUnaffected","Mutation backstop","Effect:DelayCall","TBC-TIMER-DELAY","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs regex:Timer\.DelayCall\s*\(","Delayed world work stays wall-clock; participant mutations still require an authorized scope."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","8E308DBD4F2C39CB6BC07CFE6376E4935FBE863C836D7703403B8B794D968521","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs","7D69A9B598CDF8E8FA1CD5DFF46FE6ADAB5B38B32188A988A1190F4B45A0B451","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","778BE95B3A0075DC2E0A19F6CCBC342F1D3562DFEB8995000C35D3B5833C3DAA","RuntimeScript","Timer.Subclass","WallClock","None","WallClockUnaffected","Mutation backstop and explicit effect adapters","Effect:*","TBC-TIMER-OWNER","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs regex::\s*Timer\b","Timers remain wall-clock unless an owner-aware effect catalog entry overrides them."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","778BE95B3A0075DC2E0A19F6CCBC342F1D3562DFEB8995000C35D3B5833C3DAA","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","0E1245D4C2319F9DAA971F3E0263B103489359AFA5231729A78A4666B69D9265","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs","B34E25429D78420B234F7CD86FECDA119744690609DE9F5DCDD0A7F56350E81E","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","8A1FE1BD5FBEFF27DD70F563E60CBBBCCC8ADBCBD4AF95A0842AF20703064D3C","RuntimeScript","Timer.DelayCall","WallClock","None","WallClockUnaffected","Mutation backstop","Effect:DelayCall","TBC-TIMER-DELAY","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs regex:Timer\.DelayCall\s*\(","Delayed world work stays wall-clock; participant mutations still require an authorized scope."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","8A1FE1BD5FBEFF27DD70F563E60CBBBCCC8ADBCBD4AF95A0842AF20703064D3C","RuntimeScript","Action.ItemUse","N/A","None","NativeBridge","Mobile.Use bridge","ItemUse:*","TBC-ACTION-ITEM","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs regex:\bOnDoubleClick\s*\(","Item use is cataloged by runtime type while participants are active."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","8A1FE1BD5FBEFF27DD70F563E60CBBBCCC8ADBCBD4AF95A0842AF20703064D3C","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastVein.cs","F1D870591FC21B5E4BC76C4ABEDD6F1A8F0A52E5623F8E0D3C32B8C76FD27443","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Items/PlagueBeastVein.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/UnholyBone.cs","AD83EC2A75E07940D0DE7B16F4CB0E4179950F802C9F3FE99ED5ABDFE20C9281","RuntimeScript","Timer.Subclass","WallClock","None","WallClockUnaffected","Mutation backstop and explicit effect adapters","Effect:*","TBC-TIMER-OWNER","Data/Scripts/Custom/Champions/Items/UnholyBone.cs regex::\s*Timer\b","Timers remain wall-clock unless an owner-aware effect catalog entry overrides them."
"Custom:Champions","Data/Scripts/Custom/Champions/Items/UnholyBone.cs","AD83EC2A75E07940D0DE7B16F4CB0E4179950F802C9F3FE99ED5ABDFE20C9281","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Items/UnholyBone.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Adimarchus.cs","FA3D9D3BA45B85A9CD016A88B110D55A88FECC4F95B74084D6F1FD26A684C3F5","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Adimarchus.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Bahamut.cs","906141D68561C326675E3670B46D945C4D04216C484FDACB77AC6032F206F013","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Bahamut.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Balar.cs","8649830848AB8E2A378C1DEAAC76209305C7002865100ED50396624A2BFA75BB","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Balar.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Brona.cs","5B1A025CCA1D6BB346E15D3E1C01D2496694E5CCB41DEA3BB6ADDDF5AC1D7634","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Brona.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Conan.cs","D6B8EE7DAEB0ECAE72D7690376D6FD89DC876BA9F37473E654084DFAAB78839E","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Conan.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Demogorgon.cs","95520DEACE48A5A45958AC3DBB17DFAE500255619848F2989BCB1327A7CCA5E8","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Demogorgon.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Elric.cs","F02EBB41707F1A50795A5FC1539CCFBD8673629D9C17E6763E0EA60EB0F210E8","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Elric.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/GrimReaper.cs","C1834FA0BE4717335420C50665EA23D2972552BCE6022DEFE71D53B460F6F378","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/GrimReaper.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Hercules.cs","5B45CD7D4B5EF89F9DD732CAE0BA002ED1E71D2D80D6C2D6CB5A84AD637F02E6","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Hercules.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/KingArthur.cs","DF24DA7EA96F7C46064F533A6061725947DF1E8963C02B8D092E21A79137ABAD","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/KingArthur.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Kronos.cs","4C714C1C4403FC15ECC681ECCB0A978FF2DC9530F8419BA6EFEA0F556861AE9C","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Kronos.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Lolth.cs","DC1FAD3BAEE488C70681064F5947CF46F85291869BFB85449EF4F5CE275C3652","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Lolth.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/LordVerminaard.cs","C312AF7C58E6137277DB6B2919AC79F647606363EB12283F7933FD40CDDF7D4D","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/LordVerminaard.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Merlin.cs","A21B024FCDA1D3416867B0AFC2027AAD8E346E506EC8CEBD9404ECBE27C554C1","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Merlin.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Nosferatu.cs","AC233FB2843658C9B948FAADB9E88E201581EB1BEF9E88166FF780A0DCC1D4E7","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Nosferatu.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Orcus.cs","75407D2A9B3E690E9B4E821B91D2681BB9AF46B8BDB7711F7CF16CC9281C02C3","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Orcus.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/RedSonja.cs","C314B1A2120A38F4DA8B4B1F1AEF68476049A630CEDE1844876D347FCCEED8FD","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/RedSonja.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
