##############################
Log started on 3/27/2023 6:06:40 AM

3/27/2023 6:43:20 AM: 221.127.243.47: Player 0xF1BE "miner" ('yetaobg1') used command 'elementtool1 '
3/27/2023 7:07:56 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:08:10 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:08:13 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:10:02 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:10:05 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:10:08 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:10:09 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:10:36 AM: 122.235.233.24: Player 0x43BD "Dw" ('testkk') used command 'ferretflee '
3/27/2023 7:12:22 AM: 73.73.90.169: Player 0x38DD "Finbar" ('paco27041') used command 'ehold '
3/27/2023 7:12:53 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:12:55 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:15:18 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'energythrenody '
3/27/2023 7:15:24 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:15:25 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:16:29 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:16:31 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:16:32 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:29:21 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:29:22 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:29:24 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:29:25 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:29:27 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:01 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:31:03 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:04 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:06 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:08 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:16 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:19 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:20 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:32 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:39 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:50 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:31:52 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:32:04 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:32:10 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:32:12 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:32:14 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:03 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:05 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:07 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:12 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:14 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:16 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:19 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:20 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:21 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:33:59 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:34:00 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:34:15 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:34:17 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:34:20 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:34:21 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:34:39 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 7:34:43 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 7:34:47 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 8:13:39 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:13:46 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:13:48 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:13:53 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:14:44 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:14:46 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:14:47 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:14:57 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:14:58 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:15:04 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:15:04 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:15:09 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:15:09 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:15:12 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:15:33 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:15:37 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:15:44 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:15:46 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:15:47 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:15:49 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:15:50 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:15:57 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:15:58 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:00 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:03 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:04 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:05 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:39 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:16:41 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:16:41 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:44 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:16:45 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:47 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:49 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:53 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:16:54 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:17:16 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:17:56 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:17:59 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:18:51 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:18:55 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:18:56 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:18:57 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:19:00 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:19:02 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:19:07 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:19:08 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:19:12 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:19:33 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:20:03 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:20:05 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:20:06 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:21:58 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:22:00 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:22:02 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:22:03 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:22:43 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:22:47 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:22:53 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:22:55 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:22:59 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:23:40 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:23:41 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:23:44 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:23:50 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:23:58 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:23:59 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:24:11 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:24:12 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:24:20 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:24:24 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:24:26 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:24:30 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:24:31 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:24:33 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:24:41 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:24:47 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:24:47 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:27:52 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:27:57 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:28:00 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:28:04 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:28:06 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:28:07 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:28:08 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:28:10 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:28:14 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:28:59 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:29:02 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:29:08 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:29:09 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:29:10 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:29:16 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:29:21 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:29:26 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:30:31 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 8:30:32 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:30:36 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:30:41 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:30:44 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:30:46 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:30:53 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 8:34:52 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'dupe '
3/27/2023 8:35:00 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'dupe '
3/27/2023 8:35:01 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') duping 0x400406EA (PremiumSpawner) (inBag=False; amount=1)
3/27/2023 8:35:01 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') duped 0x400406EA (PremiumSpawner) creating 0x40019193 (PremiumSpawner)
3/27/2023 8:40:15 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'move '
3/27/2023 8:40:20 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') moving 0x40019193 (PremiumSpawner) to (2451, 889, 2)
3/27/2023 8:40:31 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'st '
3/27/2023 8:40:43 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'inc z 3'
3/27/2023 8:40:57 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'inc z 3'
3/27/2023 8:41:00 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'inc z 1'
3/27/2023 8:41:02 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'inc z 1'
3/27/2023 8:41:09 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'inc z 5'
3/27/2023 8:41:21 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'inc z -1'
3/27/2023 8:41:33 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'inc z -1'
3/27/2023 8:42:10 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') set property 'WalkingRange' of 0x40019193 (PremiumSpawner) to '1'
3/27/2023 8:42:39 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'move '
3/27/2023 8:42:43 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') moving 0x40019193 (PremiumSpawner) to (2449, 889, 2)
3/27/2023 8:42:55 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'st '
3/27/2023 8:43:14 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'inc x 1'
3/27/2023 8:51:51 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'go '
3/27/2023 8:51:59 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'M Tele'
3/27/2023 9:28:37 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 9:30:02 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 9:30:10 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 9:30:25 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 9:30:38 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 9:30:39 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 9:30:43 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 9:31:38 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 9:31:41 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 9:31:43 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 9:31:56 AM: 122.235.233.24: Player 0x43BD "Dw" ('testkk') used command 'ferretflee '
3/27/2023 9:32:01 AM: 122.235.233.24: Player 0x43BD "Dw" ('testkk') used command 'ferretflee '
3/27/2023 9:32:09 AM: 122.235.233.24: Player 0x43BD "Dw" ('testkk') used command 'ferretflee '
3/27/2023 9:32:10 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 9:32:18 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 9:32:20 AM: 122.235.233.24: Player 0x43BD "Dw" ('testkk') used command 'ferretflee '
3/27/2023 9:32:20 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 9:32:22 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 9:32:22 AM: 122.235.233.24: Player 0x43BD "Dw" ('testkk') used command 'ferretflee '
