##############################
Log started on 3/16/2023 6:05:14 AM

3/16/2023 6:05:44 AM: 73.73.90.169: Administrator 0x4EBB0 "Valendil" ('paco2704') used command 'admin '
3/16/2023 6:17:06 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:17:10 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:17:11 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:18:08 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:18:10 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:18:12 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:18:13 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:18:35 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:18:58 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:19:05 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:19:14 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:07 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:09 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:11 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:14 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:15 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:17 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:21 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:24 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:25 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:27 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 6:20:31 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 6:20:34 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 6:20:42 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 6:20:50 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:52 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:20:54 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set2 '
3/16/2023 6:20:57 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:21:12 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 6:21:15 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:21:16 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set2 '
3/16/2023 6:21:18 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:21:21 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:21:23 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:21:24 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:21:28 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 6:21:43 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 6:22:02 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:24:14 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:25:05 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:25:10 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set2 '
3/16/2023 6:25:12 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:25:25 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:25:43 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:25:45 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:26:09 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:55:47 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'c '
3/16/2023 7:01:25 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:01:29 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 7:01:41 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:01:54 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:02:25 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:06:26 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:06:45 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:06:54 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:07:10 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:07:22 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:07:31 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:07:43 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:07:47 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:07:51 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:08:00 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:08:39 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:08:42 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:08:55 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:09:09 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:09:34 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:09:48 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:09:55 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:10:03 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:10:09 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:10:59 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:11:16 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:11:29 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:11:57 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:12:13 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:12:43 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:12:50 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:13:08 AM: 221.127.245.217: Player 0xF1BE "miner" ('yetaobg1') used command 'elementtool1 '
3/16/2023 7:14:11 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:14:24 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:14:30 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:15:01 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:15:39 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:15:49 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:15:51 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:15:56 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:15:58 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:16:07 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:16:08 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:16:13 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:16:15 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 7:16:16 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:17:07 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:17:17 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:17:27 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:18:28 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:18:38 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:19:59 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:20:20 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:20:27 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:20:28 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:20:36 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:20:39 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:20:40 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 7:20:46 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 7:20:51 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:20:53 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:20:57 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 7:21:20 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:21:58 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:22:38 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:22:41 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:22:42 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 7:22:48 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:23:03 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:23:29 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:23:44 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:23:49 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:24:06 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:24:09 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:24:11 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:24:15 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:24:38 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:24:48 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 7:26:04 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:27:17 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 7:29:31 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'c '
3/16/2023 7:32:06 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:32:07 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:33:37 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:33:41 AM: 46.69.237.13: Player 0x109B3 "zedi" ('jedi5588') used command 'bandother '
3/16/2023 7:40:09 AM: 117.153.137.186: Player 0xB0CC "AEN" ('yetaobg3') used command 'c '
3/16/2023 8:00:39 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'admin '
3/16/2023 8:00:49 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'admin '
3/16/2023 8:11:40 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'c '
3/16/2023 8:24:49 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:24:55 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:24:59 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:25:02 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:25:12 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:25:28 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:25:31 AM: 112.37.118.191: Player 0x1A5B8 "DHL" ('jingtaoq2') used command 'c '
3/16/2023 8:26:49 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:27:43 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:29:43 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:30:20 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:30:40 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:30:55 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:31:42 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:32:10 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:32:44 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:33:02 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:33:14 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:33:20 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:33:26 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:33:53 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:34:15 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:34:21 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:34:23 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:34:24 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 8:34:25 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:34:27 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 8:34:49 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:34:55 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:35:06 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:35:14 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:35:58 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:36:31 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:36:33 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:36:45 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:36:55 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:37:48 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:38:08 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:38:24 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:38:28 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:38:33 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 8:38:37 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:38:46 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:39:37 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:40:12 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:40:21 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:41:14 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:41:46 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:42:18 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:42:42 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:44:02 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:44:20 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:44:24 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:44:29 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:44:30 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:44:35 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 8:44:37 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:44:42 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 8:44:43 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:44:55 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:44:56 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 8:47:19 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:47:25 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'bandself '
3/16/2023 8:47:32 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:49:15 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:50:21 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:50:30 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:50:35 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:50:44 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:51:35 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:52:26 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:53:08 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:53:17 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:54:43 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'c '
3/16/2023 8:54:50 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:55:34 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:55:59 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 8:57:20 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 9:02:30 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/16/2023 9:04:16 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/16/2023 9:04:21 AM: 221.127.245.217: Player 0xF1BE "miner" ('yetaobg1') used command 'elementtool1 '
3/16/2023 9:04:38 AM: 221.127.245.217: Player 0xF1BE "miner" ('yetaobg1') used command 'elementtool1 '
3/16/2023 9:05:17 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'elementtool1 '
3/16/2023 9:05:43 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'elementtool1 '
3/16/2023 9:06:02 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/16/2023 9:07:49 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/16/2023 9:09:05 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'admin '
3/16/2023 9:09:35 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/16/2023 9:10:05 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'props '
3/16/2023 9:10:08 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'get fame'
3/16/2023 9:11:22 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/16/2023 9:12:51 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'erestoration '
3/16/2023 9:13:08 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/16/2023 9:13:39 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'add dragon'
3/16/2023 9:13:43 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') building at (3016, 1175, 0) in Sosaria: "dragon"
3/16/2023 9:13:43 AM: 192.168.16.101: Serials: 0x20BE; 
3/16/2023 9:13:45 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 9:13:47 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 9:13:49 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
