5/7/2023 9:03:23 AM: 172.56.28.85: Player 0x2A001 "TigerLily of Nax" ('IslandGamer') used command 'abilitynames '
5/14/2023 2:57:22 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/14/2023 3:01:26 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/14/2023 3:32:23 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/14/2023 11:56:58 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'wealth '
5/14/2023 11:57:07 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/15/2023 12:00:32 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/16/2023 7:19:14 PM: 172.56.29.155: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/16/2023 7:21:54 PM: 172.56.29.155: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/16/2023 7:23:06 PM: 172.56.29.155: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/16/2023 7:24:50 PM: 172.56.29.155: Player 0x2D03B "Fairy" ('IslandGamer') used command 'corpse '
5/20/2023 11:44:13 AM: 172.56.28.51: Player 0x2D03B "Fairy" ('IslandGamer') used command 'corpse '
5/20/2023 11:46:46 AM: 172.56.28.51: Player 0x2D03B "Fairy" ('IslandGamer') used command 'corpse '
5/20/2023 1:30:58 PM: 172.56.28.51: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
6/17/2023 7:20:50 PM: 24.154.23.245: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
