ClassName,BaseClass,SourcePath,Kind,Status,Notes
AdvancedBlacksmithStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedBludgeoningStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedBowcraftStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedBushidoStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedCampingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedCarpentryStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedCartographyStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedCookingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedDiscordanceStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedDruidismStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedElementalismStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedFencingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedFistFightingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedFocusStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedForensicsStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedHealingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedHerdingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedHidingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedImbuingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedInscribeStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedKnightshipStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedLockpickingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedLumberjackingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedMageryStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedMagicResistStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedMarksmanshipStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedMeditationStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedMercantileStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedMiningStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedMusicianshipStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedMysticismStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedNecromancyStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedNinjitsuStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedParryStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedPeacemakingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedPoisoningStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedProvocationStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedPsychologyStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedRandomStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/RandomStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedRemoveTrapStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedSeafaringStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedSearchingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedSnoopingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedSpiritualismStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedStealingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedStealthStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedSwordsStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedTacticsStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedTailoringStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedTamingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedTastingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedThrowingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedTinkeringStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedTrackingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedVeterinaryStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdventurerCrate,LockableContainer,Data/Scripts/Items/Containers/Container.cs,ItemCandidate,SourceVerified,
AdvertiserVendor,Item,Data/Scripts/Items/Houses/AdvertiserVendor.cs,ItemCandidate,SourceVerified,
Aegis,HeaterShield,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_Aegis.cs,ItemCandidate,SourceVerified,
AegisOfGrace,DragonHelm,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_AegisOfGrace.cs,ItemCandidate,SourceVerified,
Afro,Hair,Data/Scripts/Items/Misc/Facial/Hair.cs,ItemCandidate,SourceVerified,
AgapiteAmulet,GoldNecklace,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AgapiteBracelet,GoldBracelet,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AgapiteEarrings,GoldEarrings,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AgapiteGranite,BaseGranite,Data/Scripts/Items/Trades/Resources/Masonry/Granite.cs,ItemCandidate,SourceVerified,
AgapiteHammer,RunicHammer1,Data/Scripts/Trades/Runics/BaseRunicHammer.cs,ItemCandidate,SourceVerified,
AgapiteIngot,BaseIngot,Data/Scripts/Items/Trades/Resources/Blacksmithing/Ingots.cs,ItemCandidate,SourceVerified,
AgapiteOre,BaseOre,Data/Scripts/Items/Trades/Resources/Blacksmithing/Ore.cs,ItemCandidate,SourceVerified,
AgapiteRing,GoldRing,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AgapiteTinkerTools,RunicTinkerTools,Data/Scripts/Trades/Runics/BaseRunicTinkerTools.cs,ItemCandidate,SourceVerified,
AgilityMagicStaff,BaseMagicStaff,Data/Scripts/Items/Wands/2nd Circle/AgilityStaff.cs,ItemCandidate,SourceVerified,
AgilityPotion,BaseAgilityPotion,Data/Scripts/Items/Potions/Standard/Agility Potions/AgilityPotion.cs,ItemCandidate,SourceVerified,
AilricsLongbow,ElvenCompositeLongbow,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_AilricsLongbow.cs,ItemCandidate,SourceVerified,
AirElementalMagicStaff,BaseMagicStaff,Data/Scripts/Items/Wands/8th Circle/AirElementalStaff.cs,ItemCandidate,SourceVerified,
AlchemicSlime,BaseCreature,Data/Scripts/Items/Potions/Mixtures/AlchemicSlime.cs,ItemCandidate,SourceVerified,
AlchemicalElixirs,DynamicBook,Data/Scripts/Items/Books/DynamicBook.cs,ItemCandidate,SourceVerified,
AlchemicalMixtures,DynamicBook,Data/Scripts/Items/Books/DynamicBook.cs,ItemCandidate,SourceVerified,
AlchemistBag,Gump,Data/Scripts/Items/Containers/AlchemistPouch.cs,ItemCandidate,SourceVerified,
AlchemistPouch,Bag,Data/Scripts/Items/Containers/AlchemistPouch.cs,ItemCandidate,SourceVerified,
AlchemistShoppe,BaseShoppe,Data/Scripts/Trades/Shoppes/AlchemistShoppe.cs,ItemCandidate,SourceVerified,
AlchemistTableEastAddon,BaseAddon,Data/Scripts/Items/Construction/Addons/AlchemistTableEastAddon.cs,ItemCandidate,SourceVerified,
AlchemistTableEastDeed,BaseAddonDeed,Data/Scripts/Items/Construction/Addons/AlchemistTableEastAddon.cs,ItemCandidate,SourceVerified,
AlchemistTableSouthAddon,BaseAddon,Data/Scripts/Items/Construction/Addons/AlchemistTableSouthAddon.cs,ItemCandidate,SourceVerified,
AlchemistTableSouthDeed,BaseAddonDeed,Data/Scripts/Items/Construction/Addons/AlchemistTableSouthAddon.cs,ItemCandidate,SourceVerified,
AlchemistsBauble,GoldBracelet,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_AlchemistsBauble.cs,ItemCandidate,SourceVerified,
AlchemyCrate,LockableContainer,Data/Scripts/Items/Containers/Container.cs,ItemCandidate,SourceVerified,
AlchemyPouch,LargeSack,Data/Scripts/Items/Containers/AlchemyPouch.cs,ItemCandidate,SourceVerified,
AlchemyTub,Item,Data/Scripts/Items/Potions/AlchemyTub.cs,ItemCandidate,SourceVerified,
AleKeg,Item,Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Brewing/Items/Kegs/AleKeg.cs,ItemCandidate,SourceVerified,
AlienEgg,Item,Data/Scripts/Items/Technology/AlienEgg.cs,ItemCandidate,SourceVerified,
AlienEggGump,Gump,Data/Scripts/Items/Technology/AlienEgg.cs,ItemCandidate,SourceVerified,
AlienHides,BaseHides,Data/Scripts/Items/Trades/Resources/Tailor/Hides.cs,ItemCandidate,SourceVerified,
AlienLeather,BaseLeather,Data/Scripts/Items/Trades/Resources/Tailor/Leathers.cs,ItemCandidate,SourceVerified,
AllDyeTubsArmor,DyeTub,Data/Scripts/Items/Misc/Dyes/AllDyeTubsArmor.cs,ItemCandidate,SourceVerified,
AllDyeTubsArmorTarget,Target,Data/Scripts/Items/Misc/Dyes/AllDyeTubsArmor.cs,ItemCandidate,SourceVerified,
AllDyeTubsBookRune,DyeTub,Data/Scripts/Items/Misc/Dyes/AllDyeTubsBookRune.cs,ItemCandidate,SourceVerified,
AllDyeTubsBookRuneTarget,Target,Data/Scripts/Items/Misc/Dyes/AllDyeTubsBookRune.cs,ItemCandidate,SourceVerified,
AllDyeTubsBookSpell,DyeTub,Data/Scripts/Items/Misc/Dyes/AllDyeTubsBookSpell.cs,ItemCandidate,SourceVerified,
AllDyeTubsBookSpellTarget,Target,Data/Scripts/Items/Misc/Dyes/AllDyeTubsBookSpell.cs,ItemCandidate,SourceVerified,
AllDyeTubsFurniture,DyeTub,Data/Scripts/Items/Misc/Dyes/AllDyeTubsFurniture.cs,ItemCandidate,SourceVerified,
AllDyeTubsFurnitureTarget,Target,Data/Scripts/Items/Misc/Dyes/AllDyeTubsFurniture.cs,ItemCandidate,SourceVerified,
AllDyeTubsMountEthereal,DyeTub,Data/Scripts/Items/Misc/Dyes/AllDyeTubsMountEthereal.cs,ItemCandidate,SourceVerified,
AllDyeTubsMountEtherealTarget,Target,Data/Scripts/Items/Misc/Dyes/AllDyeTubsMountEthereal.cs,ItemCandidate,SourceVerified,
AllDyeTubsWeapon,DyeTub,Data/Scripts/Items/Misc/Dyes/AllDyeTubsWeapon.cs,ItemCandidate,SourceVerified,
AllDyeTubsWeaponTarget,Target,Data/Scripts/Items/Misc/Dyes/AllDyeTubsWeapon.cs,ItemCandidate,SourceVerified,
AllHuesInfo,,Data/Scripts/Items/Misc/Dyes/AllHues.cs,ItemCandidate,SourceVerified,
AltarDaemon,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarDryad,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarDurama,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarEvil,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarGargoyle,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarGodsEast,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarGodsSouth,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarSea,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarShrineEast,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarShrineSouth,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarStatue,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AltarWizard,Item,Data/Scripts/Items/Misc/AltarGods.cs,ItemCandidate,SourceVerified,
AlternateRealityMap,Item,Data/Scripts/Items/Special/AlternateRealityMap.cs,ItemCandidate,SourceVerified,
Amber,Item,Data/Scripts/Items/Gems/Amber.cs,ItemCandidate,SourceVerified,
AmberAmulet,GoldNecklace,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AmberBracelet,GoldBracelet,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AmberEarrings,GoldEarrings,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AmberRing,GoldRing,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
Amethyst,Item,Data/Scripts/Items/Gems/Amethyst.cs,ItemCandidate,SourceVerified,
AmethystAmulet,GoldNecklace,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AmethystBracelet,GoldBracelet,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AmethystEarrings,GoldEarrings,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AmethystFemalePlateChest,FemalePlateChest,Data/Scripts/Items/Armor/Gargoyle/AmethystArmor.cs,ItemCandidate,SourceVerified,
AmethystIngot,Item,Data/Scripts/Items/Trades/Resources/Blacksmithing/BlockofAmethyst.cs,ItemCandidate,SourceVerified,
AmethystPlateArms,PlateArms,Data/Scripts/Items/Armor/Gargoyle/AmethystArmor.cs,ItemCandidate,SourceVerified,
AmethystPlateChest,PlateChest,Data/Scripts/Items/Armor/Gargoyle/AmethystArmor.cs,ItemCandidate,SourceVerified,
AmethystPlateGloves,PlateGloves,Data/Scripts/Items/Armor/Gargoyle/AmethystArmor.cs,ItemCandidate,SourceVerified,
AmethystPlateGorget,PlateGorget,Data/Scripts/Items/Armor/Gargoyle/AmethystArmor.cs,ItemCandidate,SourceVerified,
AmethystPlateHelm,PlateHelm,Data/Scripts/Items/Armor/Gargoyle/AmethystArmor.cs,ItemCandidate,SourceVerified,
AmethystPlateLegs,PlateLegs,Data/Scripts/Items/Armor/Gargoyle/AmethystArmor.cs,ItemCandidate,SourceVerified,
AmethystRing,GoldRing,Data/Scripts/Items/Jewels/Tinkered.cs,ItemCandidate,SourceVerified,
AmethystShield,HeaterShield,Data/Scripts/Items/Armor/Gargoyle/AmethystArmor.cs,ItemCandidate,SourceVerified,
AncientSmithyHammer,BaseTool,Data/Scripts/Items/Special/Bulk Order Rewards/Blacksmithy/AncientSmithyHammer.cs,ItemCandidate,SourceVerified,
AngelicEmbrace,PlateArms,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_AngelicEmbrace.cs,ItemCandidate,SourceVerified,
AngeroftheGods,Broadsword,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_AngerOfTheGods.cs,ItemCandidate,SourceVerified,
AniLargeVioletFlask,Item,Data/Scripts/Items/Misc/GlassItems.cs,ItemCandidate,SourceVerified,
AniRedRibbedFlask,Item,Data/Scripts/Items/Misc/GlassItems.cs,ItemCandidate,SourceVerified,
AniSmallBlueFlask,Item,Data/Scripts/Items/Misc/GlassItems.cs,ItemCandidate,SourceVerified,
AnkhNorth,Item,Data/Scripts/Items/Construction/Ankhs.cs,ItemCandidate,SourceVerified,
AnkhOfSacrificeAddon,BaseAddon,Data/Scripts/Items/Special/Veteran Rewards/AnkhOfSacrifice.cs,ItemCandidate,SourceVerified,
AnkhOfSacrificeComponent,AddonComponent,Data/Scripts/Items/Special/Veteran Rewards/AnkhOfSacrifice.cs,ItemCandidate,SourceVerified,
AnkhOfSacrificeDeed,BaseAddonDeed,Data/Scripts/Items/Special/Veteran Rewards/AnkhOfSacrifice.cs,ItemCandidate,SourceVerified,
AnkhWest,Item,Data/Scripts/Items/Construction/Ankhs.cs,ItemCandidate,SourceVerified,
Ankhs,,Data/Scripts/Items/Construction/Ankhs.cs,ItemCandidate,SourceVerified,
Annihilation,Bardiche,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_Annihilation.cs,ItemCandidate,SourceVerified,
AnthropomorphistGlasses,ElvenGlasses,Data/Scripts/Items/Armor/Glasses/AnthropomorphistGlasses.cs,ItemCandidate,SourceVerified,
Anvil,Item,Data/Scripts/Items/Trades/Blacksmith Items/AnvilForge.cs,ItemCandidate,SourceVerified,
AnvilAttribute,Attribute,Data/Scripts/Trades/Crafting/DefBlacksmithy.cs,ItemCandidate,SourceVerified,
AnvilComponent,AddonComponent,Data/Scripts/Items/Construction/Addons/AddonComponent.cs,ItemCandidate,SourceVerified,
AnvilEastAddon,BaseAddon,Data/Scripts/Items/Construction/Addons/AnvilEastAddon.cs,ItemCandidate,SourceVerified,
AnvilEastDeed,BaseAddonDeed,Data/Scripts/Items/Construction/Addons/AnvilEastAddon.cs,ItemCandidate,SourceVerified,
AnvilSouthAddon,BaseAddon,Data/Scripts/Items/Construction/Addons/AnvilSouthAddon.cs,ItemCandidate,SourceVerified,
AnvilSouthDeed,BaseAddonDeed,Data/Scripts/Items/Construction/Addons/AnvilSouthAddon.cs,ItemCandidate,SourceVerified,
AppleBobbingBarrel,Item,Data/Scripts/Items/Gifts/Holiday/Halloween/Decorations/AppleBobbingBarrel.cs,ItemCandidate,SourceVerified,
ApplePie,Food,Data/Scripts/Items/Food/Food.cs,ItemCandidate,SourceVerified,Multiple source declarations found.
AppleTreeAddon,BaseFruitTreeAddon,Data/Scripts/Items/Special/Heritage Items/FruitTrees.cs,ItemCandidate,SourceVerified,
AppleTreeDeed,BaseAddonDeed,Data/Scripts/Items/Special/Heritage Items/FruitTrees.cs,ItemCandidate,SourceVerified,
AppleTrunkAddon,BaseAddon,Data/Scripts/Items/Special/Heritage Items/AppleTrunk.cs,ItemCandidate,SourceVerified,
AppleTrunkDeed,BaseAddonDeed,Data/Scripts/Items/Special/Heritage Items/AppleTrunk.cs,ItemCandidate,SourceVerified,
AquariumEastAddon,BaseAddon,Data/Scripts/Items/Trades/Fishing/Sea Artifacts/AquariumEastAddon.cs,ItemCandidate,SourceVerified,
AquariumEastAddonDeed,BaseAddonDeed,Data/Scripts/Items/Trades/Fishing/Sea Artifacts/AquariumEastAddon.cs,ItemCandidate,SourceVerified,
AquariumSouthAddon,BaseAddon,Data/Scripts/Items/Trades/Fishing/Sea Artifacts/AquariumSouthAddon.cs,ItemCandidate,SourceVerified,
AquariumSouthAddonDeed,BaseAddonDeed,Data/Scripts/Items/Trades/Fishing/Sea Artifacts/AquariumSouthAddon.cs,ItemCandidate,SourceVerified,
ArcaneArms,LeatherArms,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_ArcaneArms.cs,ItemCandidate,SourceVerified,
ArcaneBookshelfEastAddon,BaseAddon,Data/Scripts/Items/Construction/Addons/ArcaneBookshelfEastAddon.cs,ItemCandidate,SourceVerified,
ArcaneBookshelfEastDeed,BaseAddonDeed,Data/Scripts/Items/Construction/Addons/ArcaneBookshelfEastAddon.cs,ItemCandidate,SourceVerified,
ArcaneBookshelfSouthAddon,BaseAddon,Data/Scripts/Items/Construction/Addons/ArcaneBookshelfSouthAddon.cs,ItemCandidate,SourceVerified,
ArcaneBookshelfSouthDeed,BaseAddonDeed,Data/Scripts/Items/Construction/Addons/ArcaneBookshelfSouthAddon.cs,ItemCandidate,SourceVerified,
ArcaneCap,LeatherCap,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_ArcaneCap.cs,ItemCandidate,SourceVerified,
ArcaneCircleAddon,BaseAddon,Data/Scripts/Items/Construction/Addons/ArcaneCircleAddon.cs,ItemCandidate,SourceVerified,
ArcaneCircleDeed,BaseAddonDeed,Data/Scripts/Items/Construction/Addons/ArcaneCircleAddon.cs,ItemCandidate,SourceVerified,
ArcaneGem,Item,Data/Scripts/Items/Misc/ArcaneGem.cs,ItemCandidate,SourceVerified,
ArcaneGloves,LeatherGloves,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_ArcaneGloves.cs,ItemCandidate,SourceVerified,
ArcaneGorget,LeatherGorget,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_ArcaneGorget.cs,ItemCandidate,SourceVerified,
ArcaneLeggings,LeatherLegs,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_ArcaneLeggings.cs,ItemCandidate,SourceVerified,
ArcaneShield,WoodenKiteShield,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_ArcaneShield.cs,ItemCandidate,SourceVerified,
ArcaneTunic,LeatherChest,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_ArcaneTunic.cs,ItemCandidate,SourceVerified,
