ClassName,DisplayName,SourcePath,Status,Notes
AlienSpider,an alien spider,Data/Scripts/Mobiles/Insects/Aliens/AlienSpider.cs,SourceVerified,
Alligator,an alligator,Data/Scripts/Mobiles/Reptilian/Alligator.cs,SourceVerified,
AncientCyclops,cyclopean chest the ancient cyclops,Data/Scripts/Mobiles/Goliaths/Cyclops/AncientCyclops.cs,SourceVerified,
AncientDrake,an ancient drake,Data/Scripts/Mobiles/Dragons/Drakes/AncientDrake.cs,SourceVerified,
AncientEnt,the ancient ent,Data/Scripts/Mobiles/Plants/AncientEnt.cs,SourceVerified,
AncientEttin,the ancient ettin,Data/Scripts/Mobiles/Goliaths/Ettins/AncientEttin.cs,SourceVerified,
AncientFleshGolem,an ancient flesh golem,Data/Scripts/Mobiles/Constructs/Golems/AncientFleshGolem.cs,SourceVerified,
AncientGargoyle,an ancient gargoyle,Data/Scripts/Mobiles/Gargoyles/AncientGargoyle.cs,SourceVerified,
AncientLich,the ancient lich,Data/Scripts/Mobiles/Undead/AncientLich.cs,SourceVerified,
AncientNightmareRiding,,Data/Scripts/Mobiles/Hellish/AncientNightmareRiding.cs,SourceVerified,
AncientReaper,the ancient reaper,Data/Scripts/Mobiles/Plants/AncientReaper.cs,SourceVerified,
AncientSphinx,an ancient sphinx,Data/Scripts/Mobiles/Mystical/AncientSphinx.cs,SourceVerified,
AncientWyrm,venom sack the ancient wyrm,Data/Scripts/Mobiles/Dragons/Wyrms/AncientWyrm.cs,SourceVerified,
AncientWyvern,the ancient wyvern,Data/Scripts/Mobiles/Dragons/Wyverns/AncientWyvern.cs,SourceVerified,
Angel,an angel,Data/Scripts/Mobiles/Mystical/Angel.cs,SourceVerified,
Anhkheg,an anhkheg,Data/Scripts/Mobiles/Insects/Anhkheg.cs,SourceVerified,
AnimalAI,lantern the,Data/Scripts/Mobiles/Base/Behavior.cs,SourceVerified,
AnimalBuyInfo,,Data/Scripts/Mobiles/Base/AnimalBuy.cs,SourceVerified,
AnimalTrainer,,Data/Scripts/Mobiles/Civilized/Vendors/AnimalTrainer.cs,SourceVerified,
AnimatedRocks,animated rocks,Data/Scripts/Mobiles/Elementals/Ore Elementals/AnimatedRocks.cs,SourceVerified,
AntLion,an ant lion,Data/Scripts/Mobiles/Insects/Ants/AntLion.cs,SourceVerified,
AntaurKing,Xthizx the antaur king,Data/Scripts/Mobiles/Insects/Ants/AntaurKing.cs,SourceVerified,
AntaurProgenitor,an antaur lord,Data/Scripts/Mobiles/Insects/Ants/AntaurProgenitor.cs,SourceVerified,
AntaurSoldier,an antaur soldier,Data/Scripts/Mobiles/Insects/Ants/AntaurSoldier.cs,SourceVerified,
AntaurWorker,an antaur worker,Data/Scripts/Mobiles/Insects/Ants/AntaurWorker.cs,SourceVerified,
Antelope,an antelope,Data/Scripts/Mobiles/Animals/Misc/Antelope.cs,SourceVerified,
AnvilHit,hammer,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanSmith.cs,SourceVerified,
AnyElemental,a grue,Data/Scripts/Mobiles/Elementals/Elementals/AnyElemental.cs,SourceVerified,
AnyGemElemental,a grue,Data/Scripts/Mobiles/Elementals/Elementals/AnyGemElemental.cs,SourceVerified,
AnyStatue,an animated statue,Data/Scripts/Mobiles/Constructs/Statues/AnyStatue.cs,SourceVerified,
Ape,an ape,Data/Scripts/Mobiles/Animals/Misc/Ape.cs,SourceVerified,
AquaticGhoul,an aquatic ghoul,Data/Scripts/Mobiles/Undead/AquaticGhoul.cs,SourceVerified,
Arachnar,Arachnar the deep crawler,Data/Scripts/Mobiles/Insects/Spiders/Arachnar.cs,SourceVerified,
ArachnarChest,Arachnar the deep crawler,Data/Scripts/Mobiles/Insects/Spiders/Arachnar.cs,SourceVerified,
Archangel,an archangel,Data/Scripts/Mobiles/Mystical/Archangel.cs,SourceVerified,
ArcherAI,lantern the,Data/Scripts/Mobiles/Base/Behavior.cs,SourceVerified,
ArcherGuildmaster,item,Data/Scripts/Mobiles/Civilized/Guilds/ArcherGuildmaster.cs,SourceVerified,
Archfiend,sword of the archfiend,Data/Scripts/Mobiles/Daemons/Archfiend.cs,SourceVerified,
Architect,,Data/Scripts/Mobiles/Civilized/Vendors/Architect.cs,SourceVerified,
Archmage,staff the mad archmage,Data/Scripts/Mobiles/Humanoids/Humans/Archmage.cs,SourceVerified,
Archon,Archon,Data/Scripts/Custom/Mobiles/Mystical/Archon.cs,SourceVerified,
ArcticEttin,an arctic ettin,Data/Scripts/Mobiles/Goliaths/Ettins/ArcticEttin.cs,SourceVerified,
ArcticOgreLord,an arctic ogre lord,Data/Scripts/Mobiles/Goliaths/Ogres/ArcticOgreLord.cs,SourceVerified,
ArmageddonEngine,,Data/Scripts/Custom/Mobiles/Godfrey2026/ArmageddonEngine.cs,SourceVerified,
Armorer,item,Data/Scripts/Mobiles/Civilized/Vendors/Armorer.cs,SourceVerified,
Artist,painting of the painter,Data/Scripts/Mobiles/Civilized/Vendors/Artist.cs,SourceVerified,
AshDragon,of draconic ash,Data/Scripts/Mobiles/Dragons/Great Dragons/AshDragon.cs,SourceVerified,
AsianDragon,the celestial dragon,Data/Scripts/Mobiles/Dragons/Dragons/AsianDragon.cs,SourceVerified,
Assassin,,Data/Scripts/Custom/Mobiles/Godfrey2026/Assassin.cs,SourceVerified,
AssassinGuildmaster,,Data/Scripts/Mobiles/Civilized/Guilds/AssassinGuildmaster.cs,SourceVerified,
Atlantian,,Data/Scripts/Custom/Mobiles/Godfrey2026/Atlantian.cs,SourceVerified,
AtlantianParagon,,Data/Scripts/Custom/Mobiles/Godfrey2026/AtlantianParagon.cs,SourceVerified,
Atlas,Atlas,Data/Scripts/Custom/Mobiles/Goliaths/Atlas.cs,SourceVerified,
AxeBeakRiding,raw axe beak leg,Data/Scripts/Mobiles/Animals/Birds/AxeBeakRiding.cs,SourceVerified,
BabyDragon,a baby dragon,Data/Scripts/Mobiles/Dragons/Young/BabyDragon.cs,SourceVerified,
Bahamut,Bahamut the Platinum Dragon,Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Bahamut.cs,SourceVerified,
Baker,,Data/Scripts/Mobiles/Civilized/Vendors/Baker.cs,SourceVerified,
Balar,Balar of the Evil Eye,Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Balar.cs,SourceVerified,
Balron,sword of balron,Data/Scripts/Mobiles/Daemons/Balron.cs,SourceVerified,
Bandit,the bandit,Data/Scripts/Mobiles/Humanoids/Humans/Bandit.cs,SourceVerified,
BanditKing,,Data/Scripts/Custom/Mobiles/Godfrey2026/BanditKing.cs,SourceVerified,
BaneOfAnarchy,plate tunic of anarchy the Bane of Anarchy,Data/Scripts/Mobiles/Unique/BaneOfAnarchy.cs,SourceVerified,
BaneOfInsanity,plate tunic of insanity the Bane of Insanity,Data/Scripts/Mobiles/Unique/BaneOfInsanity.cs,SourceVerified,
BaneOfWantoness,plate tunic of wantoness the Bane of Wantoness,Data/Scripts/Mobiles/Unique/BaneOfWantoness.cs,SourceVerified,
Banker,,Data/Scripts/Mobiles/Civilized/Vendors/Banker.cs,SourceVerified,
Bard,item,Data/Scripts/Mobiles/Civilized/Vendors/Bard.cs,SourceVerified,
BardGuildmaster,,Data/Scripts/Mobiles/Civilized/Guilds/BardGuildmaster.cs,SourceVerified,
BardHit,instrument,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanBard.cs,SourceVerified,
BardMangarPack,Mangar the Dark,Data/Scripts/Mobiles/Unique/Mangar.cs,SourceVerified,
Barkeeper,,Data/Scripts/Mobiles/Civilized/Vendors/Barkeeper.cs,SourceVerified,
BarkeeperGump,,Data/Scripts/Mobiles/Base/PlayerBarkeeper.cs,SourceVerified,
BarkeeperRumor,,Data/Scripts/Mobiles/Base/PlayerBarkeeper.cs,SourceVerified,
BarkeeperTitleGump,,Data/Scripts/Mobiles/Base/PlayerBarkeeper.cs,SourceVerified,
BaronAlmric,Almric the Baron,Data/Scripts/Mobiles/Unique/BaronAlmric.cs,SourceVerified,
Barracoon,Barracoon the piper,Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Barracoon.cs,SourceVerified,
BaseAI,lantern the,Data/Scripts/Mobiles/Base/Behavior.cs,SourceVerified,
BaseChampion,,Data/Scripts/Custom/Champions/System/Mobiles/BaseChampion.cs,SourceVerified,
BaseCreature,mutant plant the Captain of the Dead,Data/Scripts/Mobiles/Base/BaseCreature.cs,SourceVerified,
BaseFamiliar,,Data/Scripts/Mobiles/Base/BaseFamiliar.cs,SourceVerified,
BaseGuildmaster,,Data/Scripts/Mobiles/Base/BaseGuildmaster.cs,SourceVerified,
BaseHealer,fighter henchman,Data/Scripts/Mobiles/Base/BaseHealer.cs,SourceVerified,
BaseMount,,Data/Scripts/Mobiles/Base/BaseMount.cs,SourceVerified,
BaseNPC,,Data/Scripts/Mobiles/Base/BaseNPC.cs,SourceVerified,
BasePerson,person,Data/Scripts/Mobiles/Base/BasePerson.cs,SourceVerified,
BasePirate,Native Tunic of the Whisper Guard,Data/Scripts/Mobiles/Humanoids/Sailors/Galleons/BasePirate.cs,SourceVerified,
BaseRace,,Data/Scripts/Mobiles/Races/BaseRace.cs,SourceVerified,
BaseSailor,,Data/Scripts/Mobiles/Humanoids/Sailors/BaseSailor.cs,SourceVerified,
BaseVendor,lantern the archer,Data/Scripts/Mobiles/Base/BaseVendor.cs,SourceVerified,
BasiliskRiding,useless stone,Data/Scripts/Mobiles/Reptilian/BasiliskRiding.cs,SourceVerified,
Basilosaurus,a basilosaurus,Data/Scripts/Mobiles/Reptilian/Dinosaurs/Basilosaurus.cs,SourceVerified,
Bat,a bat,Data/Scripts/Mobiles/Animals/Rodents/Bat.cs,SourceVerified,
BattleDroid,the battle droid,Data/Scripts/Mobiles/Constructs/Alien/BattleDroid.cs,SourceVerified,
Beekeeper,,Data/Scripts/Mobiles/Civilized/Vendors/Beekeeper.cs,SourceVerified,
Beetle,,Data/Scripts/Mobiles/Insects/Beetles/Beetle.cs,SourceVerified,
Beholder,the beholder,Data/Scripts/Mobiles/Unusual/Beholder.cs,SourceVerified,
BerserkAI,lantern the,Data/Scripts/Mobiles/Base/Behavior.cs,SourceVerified,
Berserker,,Data/Scripts/Mobiles/Humanoids/Humans/Berserker.cs,SourceVerified,
BeverageBuyInfo,,Data/Scripts/Mobiles/Base/BeverageBuy.cs,SourceVerified,
Bird,a seagull,Data/Scripts/Mobiles/Animals/Birds/Bird.cs,SourceVerified,
BlackBear,a black bear,Data/Scripts/Mobiles/Animals/Bears/BlackBear.cs,SourceVerified,
BlackCat,a cat,Data/Scripts/Mobiles/Animals/Felines/BlackCat.cs,SourceVerified,
BlackGateDemon,demonic chest the black gate demon,Data/Scripts/Mobiles/Daemons/BlackGateDemon.cs,SourceVerified,
BlackKnight,the Black Knights's box the Black Knight,Data/Scripts/Mobiles/Humanoids/Humans/BlackKnight.cs,SourceVerified,
BlackKnightBox,the Black Knights's box the Black Knight,Data/Scripts/Mobiles/Humanoids/Humans/BlackKnight.cs,SourceVerified,
BlackPudding,a black pudding,Data/Scripts/Mobiles/Slimes/BlackPudding.cs,SourceVerified,
BlackWolf,a black wolf,Data/Scripts/Mobiles/Animals/Canines/BlackWolf.cs,SourceVerified,
BlackbartRoberts,,Data/Scripts/Custom/Mobiles/Godfrey2026/BlackbartRoberts.cs,SourceVerified,
Blacksmith,item,Data/Scripts/Mobiles/Civilized/Vendors/Blacksmith.cs,SourceVerified,
BlacksmithGuildmaster,,Data/Scripts/Mobiles/Civilized/Guilds/BlacksmithGuildmaster.cs,SourceVerified,
BladeSpirits,a blade spirit,Data/Scripts/Mobiles/Summoned/BladeSpirits.cs,SourceVerified,
BloodAssassin,a disciple of blood,Data/Scripts/Mobiles/Humanoids/Humans/BloodAssassin.cs,SourceVerified,
BloodDemigod,Chest of Bloody Relics the demigoddess,Data/Scripts/Mobiles/Daemons/BloodDemigod.cs,SourceVerified,
BloodDemon,sword the blood daemon,Data/Scripts/Mobiles/Daemons/BloodDemon.cs,SourceVerified,
BloodElemental,a blood elemental,Data/Scripts/Mobiles/Elementals/Elementals/BloodElemental.cs,SourceVerified,
BloodGodTentacles,tentacles of the blood god,Data/Scripts/Mobiles/Unusual/BloodGodTentacles.cs,SourceVerified,
BloodLotus,a blood lotus,Data/Scripts/Mobiles/Plants/BloodLotus.cs,SourceVerified,
BloodSnake,a blood snake,Data/Scripts/Mobiles/Reptilian/Snakes/BloodSnake.cs,SourceVerified,
BloodSpawn,a blood spawn,Data/Scripts/Mobiles/Elementals/Lesser/BloodSpawn.cs,SourceVerified,
BloodWorm,a blood worm,Data/Scripts/Mobiles/Slimes/BloodWorm.cs,SourceVerified,
Boar,a boar,Data/Scripts/Mobiles/Animals/Misc/Boar.cs,SourceVerified,
BoatPirateArcher,the buccaneer,Data/Scripts/Mobiles/Humanoids/Sailors/BoatPirates.cs,SourceVerified,
BoatPirateBard,the buccaneer,Data/Scripts/Mobiles/Humanoids/Sailors/BoatPirates.cs,SourceVerified,
BoatPirateMage,the buccaneer,Data/Scripts/Mobiles/Humanoids/Sailors/BoatPirates.cs,SourceVerified,
BoatSailorArcher,the sailor,Data/Scripts/Mobiles/Humanoids/Sailors/BoatSailors.cs,SourceVerified,
BoatSailorBard,the sailor,Data/Scripts/Mobiles/Humanoids/Sailors/BoatSailors.cs,SourceVerified,
BoatSailorMage,the sailor,Data/Scripts/Mobiles/Humanoids/Sailors/BoatSailors.cs,SourceVerified,
Bobcat,a bobcat,Data/Scripts/Mobiles/Animals/Felines/Bobcat.cs,SourceVerified,
Bodak,a bodak,Data/Scripts/Mobiles/Undead/Bodak.cs,SourceVerified,
BogThing,a shambling mound,Data/Scripts/Mobiles/Plants/BogThing.cs,SourceVerified,
Bogle,a bogle,Data/Scripts/Custom/Champions/Mobiles/Minions/Bogle.cs,SourceVerified,
Bogling,a shambler,Data/Scripts/Mobiles/Plants/Bogling.cs,SourceVerified,
BombWorshipper,of the bomb,Data/Scripts/Mobiles/Humanoids/Aliens/BombWorshipper.cs,SourceVerified,
BoneDemon,a bone demon,Data/Scripts/Mobiles/Daemons/BoneDemon.cs,SourceVerified,
BoneGolem,a bone golem,Data/Scripts/Mobiles/Constructs/Golems/BoneGolem.cs,SourceVerified,
BoneKnight,a bone knight,Data/Scripts/Mobiles/Undead/BoneKnight.cs,SourceVerified,
BoneMagi,a bone magi,Data/Scripts/Mobiles/Undead/BoneMagi.cs,SourceVerified,
BoneSailor,an undead sailor,Data/Scripts/Mobiles/Undead/BoneSailor.cs,SourceVerified,
BoneSlasher,a bone slasher,Data/Scripts/Mobiles/Undead/BoneSlasher.cs,SourceVerified,
BottleDragon,the elder dragon,Data/Scripts/Mobiles/Dragons/Great Dragons/BottleDragon.cs,SourceVerified,
Bowyer,item,Data/Scripts/Mobiles/Civilized/Vendors/Bowyer.cs,SourceVerified,
Brewer,,Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Brewing/Mobiles/Brewer.cs,SourceVerified,
Brigand,the brigand,Data/Scripts/Mobiles/Humanoids/Humans/Brigand.cs,SourceVerified,
Brona,Brona the Warlock Lord,Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Brona.cs,SourceVerified,
Brontosaur,a brontosaur,Data/Scripts/Mobiles/Reptilian/Dinosaurs/Brontosaur.cs,SourceVerified,
BronzeElemental,a bronze elemental,Data/Scripts/Mobiles/Elementals/Ore Elementals/BronzeElemental.cs,SourceVerified,
BrownBear,a brown bear,Data/Scripts/Mobiles/Animals/Bears/BrownBear.cs,SourceVerified,
Bugbear,a bugbear,Data/Scripts/Mobiles/Humanoids/Bugbear.cs,SourceVerified,
Bull,a bull,Data/Scripts/Mobiles/Animals/Cows/Bull.cs,SourceVerified,
BullFrog,a bull frog,Data/Scripts/Mobiles/Reptilian/Frogs/BullFrog.cs,SourceVerified,
BullradonRiding,,Data/Scripts/Mobiles/Animals/Cows/BullradonRiding.cs,SourceVerified,
BunnyHole,a vorpal bunny,Data/Scripts/Mobiles/Unusual/VorpalBunny.cs,SourceVerified,
Butcher,,Data/Scripts/Mobiles/Civilized/Vendors/Butcher.cs,SourceVerified,
ButcherHit,cleaver,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanButcher.cs,SourceVerified,
BuyGumpEntry,,Data/Scripts/Mobiles/Civilized/Teachers/Teacher_Exalted.cs,SourceVerified,
CaddelliteDragon,Vordinax the caddellite dragon,Data/Scripts/Mobiles/Dragons/Great Dragons/CaddelliteDragon.cs,SourceVerified,
CaddelliteElemental,a caddellite elemental,Data/Scripts/Mobiles/Elementals/Gemmed/CaddelliteElemental.cs,SourceVerified,
CaddelliteGolem,a caddellite golem,Data/Scripts/Mobiles/Constructs/Golems/CaddelliteGolem.cs,SourceVerified,
Calamari,a calamari,Data/Scripts/Mobiles/Reptilian/Sea/Calamari.cs,SourceVerified,
CaptainSwag,Captain Swag,Data/Scripts/Custom/Mobiles/Pirates/CaptainSwag.cs,SourceVerified,
CarcassWorm,a carcass worm,Data/Scripts/Mobiles/Slimes/CarcassWorm.cs,SourceVerified,
Carpenter,item,Data/Scripts/Mobiles/Civilized/Vendors/Carpenter.cs,SourceVerified,
CarpenterGuildmaster,,Data/Scripts/Mobiles/Civilized/Guilds/CarpenterGuildmaster.cs,SourceVerified,
CartographersGuildmaster,,Data/Scripts/Mobiles/Civilized/Guilds/CartographersGuildmaster.cs,SourceVerified,
Cat,a cat,Data/Scripts/Mobiles/Animals/Felines/Cat.cs,SourceVerified,
CauldronHit,cauldron,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanAlchemist.cs,SourceVerified,
CaveBearRiding,,Data/Scripts/Mobiles/Animals/Bears/CaveBearRiding.cs,SourceVerified,
CaveFisher,a cave fisher,Data/Scripts/Mobiles/Insects/Spiders/CaveFisher.cs,SourceVerified,
CaveLizard,a cave lizard,Data/Scripts/Mobiles/Reptilian/CaveLizard.cs,SourceVerified,
Centaur,the centaur,Data/Scripts/Mobiles/Mystical/Centaur.cs,SourceVerified,
Cerberus,a cerberus,Data/Scripts/Mobiles/Hellish/Cerberus.cs,SourceVerified,
ChampionTitleInfo,,Data/Scripts/Mobiles/Base/PlayerMobile.cs,SourceVerified,
ChangeHairHueEntry,,Data/Scripts/Mobiles/Civilized/Vendors/CustomHairstylist.cs,SourceVerified,
ChangeHairHueGump,,Data/Scripts/Mobiles/Civilized/Vendors/CustomHairstylist.cs,SourceVerified,
ChangeHairstyleEntry,,Data/Scripts/Mobiles/Civilized/Vendors/CustomHairstylist.cs,SourceVerified,
ChangeHairstyleGump,,Data/Scripts/Mobiles/Civilized/Vendors/CustomHairstylist.cs,SourceVerified,
ChangeRumorKeywordPrompt,,Data/Scripts/Mobiles/Base/PlayerBarkeeper.cs,SourceVerified,
ChangeRumorMessagePrompt,,Data/Scripts/Mobiles/Base/PlayerBarkeeper.cs,SourceVerified,
ChangeTipMessagePrompt,,Data/Scripts/Mobiles/Base/PlayerBarkeeper.cs,SourceVerified,
ChargerOfTheFallen,ethereal horse,Data/Scripts/Mobiles/Animals/Mounts/Ethereals.cs,SourceVerified,
Cheetah,a cheetah,Data/Scripts/Mobiles/Animals/Felines/Cheetah.cs,SourceVerified,
Chicken,a chicken,Data/Scripts/Mobiles/Animals/Birds/Chicken.cs,SourceVerified,
Chimera,a chimera,Data/Scripts/Mobiles/Hellish/Chimera.cs,SourceVerified,
ChucklesJester,Chuckles the Jester,Data/Scripts/Mobiles/Civilized/Chuckles.cs,SourceVerified,
CinderElemental,a cinder elemental,Data/Scripts/Mobiles/Elementals/Elementals/CinderElemental.cs,SourceVerified,
CitizenAI,lantern the,Data/Scripts/Mobiles/Base/Behavior.cs,SourceVerified,
CitizenGump,crate of,Data/Scripts/Mobiles/Civilized/Citizens/Citizens.cs,SourceVerified,
Citizens,crate of,Data/Scripts/Mobiles/Civilized/Citizens/Citizens.cs,SourceVerified,
ClaimingGumpEntry,,Data/Scripts/Mobiles/Civilized/Vendors/AnimalTrainer.cs,SourceVerified,
ClassicBalron,,Data/Scripts/Mobiles/Daemons/ClassicBalron.cs,SourceVerified,
ClassicDaemon,,Data/Scripts/Mobiles/Daemons/ClassicDaemon.cs,SourceVerified,
CloudGiant,cloud giant chest the cloud giant,Data/Scripts/Mobiles/Goliaths/Giants/CloudGiant.cs,SourceVerified,
Cobbler,,Data/Scripts/Mobiles/Civilized/Vendors/Cobbler.cs,SourceVerified,
CodexGargoyleA,Naxatilor the gargoyle,Data/Scripts/Mobiles/Unique/CodexGargoyles.cs,SourceVerified,
CodexGargoyleB,Naxatilor the gargoyle,Data/Scripts/Mobiles/Unique/CodexGargoyles.cs,SourceVerified,
CombatDroid,the combat droid,Data/Scripts/Mobiles/Constructs/Alien/CombatDroid.cs,SourceVerified,
Conan,Conan the Cimmerian,Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Conan.cs,SourceVerified,
Cook,,Data/Scripts/Mobiles/Civilized/Vendors/Cook.cs,SourceVerified,
CopperElemental,a copper elemental,Data/Scripts/Mobiles/Elementals/Ore Elementals/CopperElemental.cs,SourceVerified,
Corpser,a corpser,Data/Scripts/Mobiles/Plants/Corpser.cs,SourceVerified,
CorruptCentaur,a corrupt centaur,Data/Scripts/Mobiles/Mystical/CorruptCentaur.cs,SourceVerified,
CosmicGargoyle,the cosmic gargoyle,Data/Scripts/Mobiles/Gargoyles/CosmicGargoyle.cs,SourceVerified,
Cougar,a cougar,Data/Scripts/Mobiles/Animals/Felines/Cougar.cs,SourceVerified,
Courier,the courier,Data/Scripts/Mobiles/Civilized/Special/Courier.cs,SourceVerified,
Cow,a cow,Data/Scripts/Mobiles/Animals/Cows/Cow.cs,SourceVerified,
CragCat,a crag cat,Data/Scripts/Mobiles/Animals/Felines/CragCat.cs,SourceVerified,
Crane,a crane,Data/Scripts/Mobiles/Animals/Birds/Crane.cs,SourceVerified,
CrateOfFood,skillet,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanCook.cs,SourceVerified,
CrateOfLeather,stretched hide,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanLeather.cs,SourceVerified,
CrateOfLogs,axe,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanLogger.cs,SourceVerified,
CrateOfMeats,cleaver,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanButcher.cs,SourceVerified,
CrateOfMetal,hammer,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanSmith.cs,SourceVerified,
CrateOfOre,rock,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanMiner.cs,SourceVerified,
CrateOfPotions,cauldron,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanAlchemist.cs,SourceVerified,
CrateOfReagents,cauldron,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanAlchemist.cs,SourceVerified,
CrateOfWood,axe,Data/Scripts/Mobiles/Civilized/Citizens/TradesmanLogger.cs,SourceVerified,
CreepingFungus,a creeping fungus,Data/Scripts/Mobiles/Plants/CreepingFungus.cs,SourceVerified,
Cronosaurus,a cronosaurus,Data/Scripts/Mobiles/Unusual/Cronosaurus.cs,SourceVerified,
Crusader,,Data/Scripts/Custom/Mobiles/Godfrey2026/Crusader.cs,SourceVerified,
CryptKeeper,Crypt Keeper,Data/Scripts/Custom/Mobiles/Undead/CryptKeeper.cs,SourceVerified,
CrystalDragon,crystal chest the crystal dragon,Data/Scripts/Mobiles/Dragons/Great Dragons/CrystalDragon.cs,SourceVerified,
CrystalElemental,a crystal elemental,Data/Scripts/Mobiles/Elementals/Gemmed/CrystalElemental.cs,SourceVerified,
CrystalGoliath,a goliath,Data/Scripts/Mobiles/Elementals/CrystalGoliath.cs,SourceVerified,
CrystalScales,crystal chest the crystal dragon,Data/Scripts/Mobiles/Dragons/Great Dragons/CrystalDragon.cs,SourceVerified,
CuSidhe,,Data/Scripts/Mobiles/Mystical/CuSidhe.cs,SourceVerified,
CulinaryGuildmaster,,Data/Scripts/Mobiles/Civilized/Guilds/CulinaryGuildmaster.cs,SourceVerified,
CursedAdventurer,Cursed Adventurer,Data/Scripts/Custom/Mobiles/Constructs/CursedAdventurer.cs,SourceVerified,
CustomHairstylist,,Data/Scripts/Mobiles/Civilized/Vendors/CustomHairstylist.cs,SourceVerified,
Cyclops,cyclopean hammer the cyclops,Data/Scripts/Mobiles/Goliaths/Cyclops/Cyclops.cs,SourceVerified,
CyclopsIntruder,Cyclops Intruder,Data/Scripts/Custom/Mobiles/Goliaths/CyclopsIntruder.cs,SourceVerified,
Daemon,sword of daemon,Data/Scripts/Mobiles/Daemons/Daemon.cs,SourceVerified,
DaemonTemplate,a demon,Data/Scripts/Mobiles/Daemons/DaemonTemplate.cs,SourceVerified,
Dagon,the dagon,Data/Scripts/Mobiles/Humanoids/Sea/Dagon.cs,SourceVerified,
