ChangeId,MobileClassOrName,ResolvedClassName,KnownFilePath,Scope,DamageMin,DamageMax,SkillChangesRaw,LootAssignmentIds,Priority,ReviewStatus,ImplementationStatus,Notes,CodexNotes
MC-013,Triton,Triton,Data/Scripts/Custom/Mobiles/Godfrey2026/Triton.cs,EpicBossCandidate,140,190,searching=125,LA-005,High,Ready,Implemented,lower damage and add loot,
MC-014,Fallen Angel,FallenAngel,Data/Scripts/Custom/Mobiles/Daemons/FallenAngel.cs,EpicBossCandidate,120,160,searching=125; tactics=125,LA-006,High,Ready,Implemented,add loot and skills,
MC-015,Olympus,Olympus,Data/Scripts/Custom/Mobiles/Godfrey2026/Olympus.cs,EpicBossCandidate,80,140,searching=125; tactics=125,LA-007,High,Ready,Implemented,add loot and skills,
MC-016,Old King Wolfgang,OldKingWolfgang,Data/Scripts/Custom/Mobiles/Undead/OldKingWolfgang.cs,EpicBossCandidate,150,200,searching=125; tactics=125,LA-008,High,Ready,Implemented,add loot and skills,
MC-017,Atlas,Atlas,Data/Scripts/Custom/Mobiles/Goliaths/Atlas.cs,EpicBossCandidate,90,200,searching=125,LA-010,High,Ready,Implemented,add loot and skills,
MC-018,Blackbart Roberts,BlackbartRoberts,Data/Scripts/Custom/Mobiles/Godfrey2026/BlackbartRoberts.cs,EpicBossCandidate,100,150,searching=125; poisoning=125,LA-011,High,Ready,Implemented,add loot and skills,
MC-019,Armageddon Engine,ArmageddonEngine,Data/Scripts/Custom/Mobiles/Godfrey2026/ArmageddonEngine.cs,EpicBossCandidate,150,200,searching=125,LA-012,High,Ready,Implemented,add loot and skills,
MC-020,Void Wraith,VoidWraith,Data/Scripts/Custom/Mobiles/Undead/VoidWraith.cs,ExactMobile,90,150,searching=125,LA-013,High,Ready,Implemented,add loot and skills,
MC-021,Plague God,PlagueGod,Data/Scripts/Custom/Mobiles/Daemons/PlagueGod.cs,EpicBossCandidate,100,160,searching=125,LA-014,High,Ready,Implemented,add loot and skills,
MC-022,Dragon Illusion,DragonIllusion,Data/Scripts/Custom/Mobiles/Dragons/DragonIllusion.cs,EpicBossCandidate,90,160,searching=125,LA-015,High,Ready,Implemented,add loot and skills,
MC-023,False Fire God,FalseFireGod,Data/Scripts/Custom/Mobiles/Titans/FalseFireGod.cs,EpicBossCandidate,110,200,searching=125; tactics=125,LA-016,High,Ready,Implemented,add loot and skills,
MC-024,Final Exodus,FinalExodus,Data/Scripts/Custom/Mobiles/Constructs/FinalExodus.cs,EpicBossCandidate,190,230,searching=125; tactics=125; magic resist=125,LA-017,High,Ready,Implemented,lower damage and add loot and skills,
MC-025,Fire King,FireKing,Data/Scripts/Custom/Mobiles/Elementals/FireKing.cs,EpicBossCandidate,120,180,searching=125; tactics=125; magic resist=125,LA-018,High,Ready,Implemented,lower damage and add loot and skills,
MC-026,Immortal Genie of the Vase,ImmortalGenie,Data/Scripts/Custom/Mobiles/Serpents/ImmortalGenie.cs,EpicBossCandidate,90,150,searching=125; magic resist=125,LA-019,High,Ready,Implemented,add loot and skills,
MC-027,Old Man Willow,OldManWillow,Data/Scripts/Custom/Mobiles/Godfrey2026/OldManWillow.cs,EpicBossCandidate,90,125,searching=125,LA-027,High,Ready,Implemented,add loot and skills,
MC-028,Garuda,Garuda,Data/Scripts/Custom/Mobiles/Godfrey2026/Garuda.cs,EpicBossCandidate,100,140,searching=125; tactics=125; magic resist=125,LA-028,High,Ready,Implemented,lower damage and add loot and skills,
MC-029,Forgotten Creation,ForgottenCreation,Data/Scripts/Custom/Mobiles/Godfrey2026/ForgottenCreation.cs,EpicBossCandidate,75,110,searching=125; tactics=125; magic resist=125,LA-029,High,Ready,Implemented,add loot and skills,
MC-030,Dragon Hydra,DragonHydra,Data/Scripts/Custom/Mobiles/Dragons/DragonHydra.cs,EpicBossCandidate,150,200,searching=125; tactics=125; magic resist=125,LA-030,High,Ready,Implemented,lower damage and add loot and skills,
MC-031,Vampire Illusion,VampireIllusion,Data/Scripts/Custom/Mobiles/Undead/VampireIllusion.cs,EpicBossCandidate,25,50,searching=125; tactics=125; magic resist=125,LA-031,Medium,Ready,Implemented,lower damage and add loot and skills,
MC-032,Treasure Goblin,TreasureGoblin,Data/Scripts/Custom/Mobiles/Godfrey2026/TreasureGoblin.cs,EpicBossCandidate,50,90,searching=125; hiding=125; stealth=125; magic resist=125; parrying=125,LA-032,Medium,Ready,Implemented,add loot and skills,
MC-033,Skinwalker,Skinwalker,Data/Scripts/Custom/Mobiles/Godfrey2026/Skinwalker.cs,ExactMobile,75,100,searching=125; tactics=125,LA-033,Medium,Ready,Implemented,lower damage and add loot and skills,
MC-034,Fire Illusion,FireIllusion,Data/Scripts/Custom/Mobiles/Elementals/FireIllusion.cs,EpicBossCandidate,75,120,searching=125; tactics=125; magic resist=125; magery=125; psychology=125,,High,Ready,Implemented,,
MC-035,Lovecraftian,Lovecraftian,Data/Scripts/Custom/Mobiles/Mystical/Lovecraftian.cs,EpicBossCandidate,100,160,searching=125,,High,Ready,Implemented,,
