SkillChangeId,ChangeId,MobileClassOrName,ResolvedMobileClass,SkillNameRaw,CanonicalSkillName,SkillMin,SkillMax,SkillValue,Operation,Status,Notes
MSC-047,MC-032,Treasure Goblin,TreasureGoblin,searching,Searching,,,125,SetSkill,Ready,
MSC-048,MC-032,Treasure Goblin,TreasureGoblin,hiding,Hiding,,,125,SetSkill,Ready,
MSC-049,MC-032,Treasure Goblin,TreasureGoblin,stealth,Stealth,,,125,SetSkill,Ready,
MSC-050,MC-032,Treasure Goblin,TreasureGoblin,magic resist,MagicResist,,,125,SetSkill,Ready,
MSC-051,MC-032,Treasure Goblin,TreasureGoblin,parrying,Parry,,,125,SetSkill,Ready,
MSC-052,MC-013,Triton,Triton,searching,Searching,,,125,SetSkill,Ready,
MSC-053,MC-012,True Virtue,TrueVirtue,searching,Searching,,,125,SetSkill,Ready,
MSC-054,MC-031,Vampire Illusion,VampireIllusion,searching,Searching,,,125,SetSkill,Ready,
MSC-055,MC-031,Vampire Illusion,VampireIllusion,tactics,Tactics,,,125,SetSkill,Ready,
MSC-056,MC-031,Vampire Illusion,VampireIllusion,magic resist,MagicResist,,,125,SetSkill,Ready,
MSC-057,MC-020,Void Wraith,VoidWraith,searching,Searching,,,125,SetSkill,Ready,
MSC-058,MC-011,Wolfgang's Dragon,WolfgangsDragon,searching,Searching,,,125,SetSkill,Ready,
